stock_1,name_1,industry_1,stock_2,name_2,industry_2,pearson,partial,abs_pearson,abs_partial,signed_change,attenuation,retention_ratio,sign_flip,meaningful_sign_flip,relation_type
600036,招商银行,银行,002475,立讯精密,电子,0.1162945091028866,0.0511719082116402,0.1162945091028866,0.0511719082116402,-0.06512260089124641,0.06512260089124641,0.4400199855211396,False,False,其他
601398,工商银行,银行,002460,赣锋锂业,新能源,-0.1498164618039328,-0.0899035287318193,0.1498164618039328,0.0899035287318193,0.0599129330721135,0.0599129330721135,0.6000911224927837,False,False,其他
601288,农业银行,银行,600887,伊利股份,食品饮料,0.1160403062565393,-0.068803418315752,0.1160403062565393,0.068803418315752,-0.1848437245722913,0.0472368879407873,0.5929268935540635,True,True,条件关系符号反转
601398,工商银行,银行,600030,中信证券,非银金融,0.085610041756519,-0.0446563649476015,0.085610041756519,0.0446563649476015,-0.13026640670412049,0.0409536768089175,0.521625314406543,True,False,其他
601288,农业银行,银行,000858,五粮液,食品饮料,0.0777194722249663,-0.0414660451819957,0.0777194722249663,0.0414660451819957,-0.119185517406962,0.03625342704297059,0.5335348271790672,True,False,其他
601288,农业银行,银行,002415,海康威视,电子,-0.0591126591559792,-0.0230188375462845,0.0591126591559792,0.0230188375462845,0.036093821609694696,0.036093821609694696,0.38940622660106067,False,False,其他
601398,工商银行,银行,002415,海康威视,电子,-0.0338911833401724,-9.520564754514842e-05,0.0338911833401724,9.520564754514842e-05,0.03379597769262725,0.03379597769262725,0.0028091567824454758,False,False,其他
600519,贵州茅台,食品饮料,000725,京东方A,电子,0.1120270871720873,-0.0809004927918581,0.1120270871720873,0.0809004927918581,-0.19292757996394538,0.031126594380229203,0.7221511764166916,True,True,条件关系符号反转
601288,农业银行,银行,000568,泸州老窖,食品饮料,0.0612379520214757,0.0338885875922597,0.0612379520214757,0.0338885875922597,-0.027349364429216004,0.027349364429216004,0.5533919158559584,False,False,其他
601288,农业银行,银行,600030,中信证券,非银金融,0.0731147675469962,0.047925436481448,0.0731147675469962,0.047925436481448,-0.025189331065548194,0.025189331065548194,0.6554823066440418,False,False,其他
601288,农业银行,银行,000725,京东方A,电子,-0.0674089453205831,0.0451142683984476,0.0674089453205831,0.0451142683984476,0.1125232137190307,0.0222946769221355,0.6692623387577629,True,False,其他
601398,工商银行,银行,000725,京东方A,电子,-0.0793687372859115,-0.0579349697285963,0.0793687372859115,0.0579349697285963,0.0214337675573152,0.0214337675573152,0.7299469754683896,False,False,其他
601398,工商银行,银行,000568,泸州老窖,食品饮料,0.0938534740117719,-0.0892927619791599,0.0938534740117719,0.0892927619791599,-0.1831462359909318,0.004560712032611991,0.9514060392475195,True,True,条件关系符号反转
