factor_order,factor_name,neutralization,window,full_sample_alpha_ic,full_sample_alpha_spread,full_sample_alpha_spread_bps,full_sample_mean_risk_ic,full_sample_ivol_ic,alpha_ic_overall_same_sign_share,alpha_ic_time_same_sign_share,alpha_ic_trend_same_sign_share,alpha_ic_vol_same_sign_share,alpha_ic_joint_same_sign_share,alpha_ic_mean_abs_retention,alpha_spread_overall_same_sign_share,alpha_spread_time_same_sign_share,alpha_spread_trend_same_sign_share,alpha_spread_vol_same_sign_share,alpha_spread_joint_same_sign_share,alpha_spread_mean_abs_retention,risk_ic_overall_same_sign_share,risk_ic_time_same_sign_share,risk_ic_trend_same_sign_share,risk_ic_vol_same_sign_share,risk_ic_joint_same_sign_share,risk_ic_mean_abs_retention,ivol_ic_overall_same_sign_share,ivol_ic_time_same_sign_share,ivol_ic_trend_same_sign_share,ivol_ic_vol_same_sign_share,ivol_ic_joint_same_sign_share,ivol_ic_mean_abs_retention,factor_sign_flipped,window_selected_from_regime_results,factor_removed_from_regime_results
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,120,0.013881284135949171,0.0030144308909792967,30.144308909792965,-0.041365100898125465,-0.05930915307059874,1.0,1.0,1.0,1.0,1.0,1.0019356298146045,1.0,1.0,1.0,1.0,1.0,1.0199699468341945,0.9318181818181818,1.0,1.0,1.0,0.8125,0.962064731991699,1.0,1.0,1.0,1.0,1.0,0.9781262792573866,False,False,False
8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,252,0.015543120678449589,0.0028605923710013016,28.605923710013016,-0.028737604551622376,-0.0509372126994498,1.0,1.0,1.0,1.0,1.0,1.0227416169675694,1.0,1.0,1.0,1.0,1.0,1.0035444066850083,0.9318181818181818,0.75,1.0,1.0,1.0,1.129834789698753,1.0,1.0,1.0,1.0,1.0,1.0094834915622146,False,False,False
8,neighbor_retention_1m,RAW,60,0.005112226131812955,0.0012477590233718674,12.477590233718674,-0.06364893278129435,-0.056173494096438334,0.7272727272727273,0.6666666666666666,1.0,1.0,0.5,1.3888731223326374,0.6363636363636364,1.0,0.5,0.5,0.5,2.450965879647333,1.0,1.0,1.0,1.0,1.0,0.9699977288242464,1.0,1.0,1.0,1.0,1.0,1.0034734999178472,False,False,False
8,neighbor_retention_1m,RAW,120,0.008270288950840591,0.00034766517167401814,3.4766517167401814,-0.06720624099374752,-0.056655047411701055,1.0,1.0,1.0,1.0,1.0,1.0724327084179786,0.5454545454545454,0.6666666666666666,0.5,0.5,0.5,,1.0,1.0,1.0,1.0,1.0,0.9572137594122208,1.0,1.0,1.0,1.0,1.0,0.9722015910674013,False,False,False
8,neighbor_retention_1m,RAW,252,0.009201149692294673,0.0010707535702158763,10.707535702158763,-0.05187671087554466,-0.04377596705888788,0.9090909090909091,1.0,1.0,1.0,0.75,0.9705111355364817,0.8,1.0,0.5,1.0,0.6666666666666666,1.3148684060992313,1.0,1.0,1.0,1.0,1.0,1.0000315639887896,1.0,1.0,1.0,1.0,1.0,1.0061664245333815,False,False,False
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,0.016248613235090983,0.0012037130769163209,12.037130769163209,-0.12290535247794193,-0.14528388787505006,1.0,1.0,1.0,1.0,1.0,0.9908765126752853,0.9090909090909091,1.0,1.0,1.0,0.75,1.5198726020573508,1.0,1.0,1.0,1.0,1.0,1.0024646733730203,1.0,1.0,1.0,1.0,1.0,0.9991810031280305,False,False,False
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,0.017261604972296514,0.002113223935942797,21.132239359427967,-0.12463004284591453,-0.14454145497055473,1.0,1.0,1.0,1.0,1.0,0.9673026667627773,0.9090909090909091,1.0,1.0,1.0,0.75,1.343801230305736,1.0,1.0,1.0,1.0,1.0,0.9899045331877225,1.0,1.0,1.0,1.0,1.0,0.9989687849583881,False,False,False
9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,0.02367503883229097,0.0035300122088001954,35.300122088001956,-0.10400395043193766,-0.11805484327443867,1.0,1.0,1.0,1.0,1.0,0.9637512433931458,0.9090909090909091,1.0,1.0,1.0,0.75,1.014499734589785,1.0,1.0,1.0,1.0,1.0,0.9858257176011098,1.0,1.0,1.0,1.0,1.0,0.9934415890585219,False,False,False
9,outside_community_degree_percentile,RAW,60,0.012553241272110226,-0.00205571755958893,-20.5571755958893,-0.16886651214347115,-0.1736177514979243,1.0,1.0,1.0,1.0,1.0,1.0837081654297576,0.5454545454545454,0.3333333333333333,1.0,0.5,0.5,1.780419635088846,1.0,1.0,1.0,1.0,1.0,0.9956425581697738,1.0,1.0,1.0,1.0,1.0,0.9960561012860261,False,False,False
9,outside_community_degree_percentile,RAW,120,0.007086863271454519,-0.004077447636012981,-40.7744763601298,-0.1730776221715789,-0.16596053735373567,0.6363636363636364,1.0,0.5,0.5,0.5,1.6011837049544768,0.7777777777777778,0.6666666666666666,1.0,0.5,1.0,1.219259004256969,1.0,1.0,1.0,1.0,1.0,0.9844613719700288,1.0,1.0,1.0,1.0,1.0,0.9954179600420741,False,False,False
9,outside_community_degree_percentile,RAW,252,0.01251998155223518,-0.0006427100096467505,-6.427100096467505,-0.15249978088222987,-0.12597252296957687,0.9090909090909091,1.0,1.0,1.0,0.75,1.034193487810768,,,,,,,1.0,1.0,1.0,1.0,1.0,0.9867022558433647,1.0,1.0,1.0,1.0,1.0,0.9880673263892968,False,False,False
