analysis_date,market_return_sum,market_valid_stock_count,unresolved_open_stock_count,suspension_zero_stock_count,panel_stock_count,market_holding_return_ew,market_trailing_return_60d,market_trailing_vol_60d,market_vol_threshold_pit,market_trend_regime,market_vol_regime,joint_market_regime,time_subsample
2019-06-28,-47.251068630349124,3629,1,19,3630,-0.013020410204009127,-0.07564625759981622,0.2964760996932163,0.27089110156511476,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
2019-07-31,-21.758064524102565,3664,0,19,3664,-0.005938336387582578,0.004950035801942256,0.2330358295951841,0.2758752302892433,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2019-08-30,-52.27442560921596,3678,1,20,3679,-0.01421273126949863,0.036758316031025175,0.2068743971267714,0.2758752302892433,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2019-09-30,-39.9486975331524,3687,3,21,3690,-0.010835014248210578,-0.027757304501622577,0.1993428833511462,0.2758752302892433,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2019-10-31,-43.22889689519566,3703,2,24,3705,-0.011674020225545681,0.0004251623701651405,0.18733944386773532,0.2758752302892433,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2019-11-29,4.88899727342956,3732,1,21,3733,0.0013100207056349303,-0.02319193832747171,0.16984260675490645,0.2658964985224602,BEAR,LOW_VOL,BEAR_LOW_VOL,P2_2019_2022
2019-12-31,21.4425585957499,3758,1,19,3759,0.00570584316012504,0.05605898399501734,0.1464641854260472,0.23293932137595696,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2020-01-23,-127.80827317860444,3771,3,15,3774,-0.03389240869228439,0.057468245676158436,0.15858076532216242,0.2265559948694775,BULL,LOW_VOL,BULL_LOW_VOL,P2_2019_2022
2020-02-28,-199.43026097245945,3795,0,13,3795,-0.05255079340512765,0.09253508208547463,0.28584669484334846,0.23258265377386028,BULL,HIGH_VOL,BULL_HIGH_VOL,P2_2019_2022
2020-03-31,-0.16953855800372664,3808,0,20,3808,-4.4521680148037456e-05,-0.020490701347495602,0.33852693589813804,0.2517452607612066,BEAR,HIGH_VOL,BEAR_HIGH_VOL,P2_2019_2022
