signal_type,factor_order,factor_name,neutralization,window,target_name,regime_type,regime_value,month_count,sufficient_regime_months,first_date,last_date,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,naive_se,naive_t_stat,calendar_hac_lag,calendar_hac_se,calendar_hac_t_stat,mean_pair_n,full_sample_alpha_ic,same_sign_as_full_sample,abs_retention_vs_full
ALPHA_IC,5,delta_residual_degree_percentile_1m,RAW,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,-0.00013447520787601081,0.0120286521500689,0.06423755331847995,0.5737704918032787,0.4262295081967213,0.00822477590142122,-0.016350014819586006,3,0.007730103812632697,-0.017396300377783884,3950.065573770492,0.0017470135578395688,False,
ALPHA_IC,5,delta_residual_degree_percentile_1m,RAW,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.004245833108734799,0.0132116419066133,0.058214760903789534,0.625,0.375,0.00920456189490486,0.46127487187467975,3,0.00867529897863636,0.48941634394278677,3739.45,0.0017470135578395688,True,
ALPHA_IC,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,ALL_SAMPLE,ALL,126,True,2016-02-29,2026-07-31,0.007600057369464336,0.008641198640188051,0.03236006710890912,0.6031746031746031,0.3968253968253968,0.002882863907965482,2.6362872518765235,4,0.0029932711512166694,2.5390474118507957,3737.5079365079364,0.007600057369464336,True,1.0
ALPHA_IC,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,35,True,2016-02-29,2018-12-28,0.0028997910910333216,0.011988933498584,0.03274398995664864,0.6,0.4,0.005534744485729883,0.5239250156009537,3,0.005212120690633941,0.5563553231305979,2203.342857142857,0.007600057369464336,True,0.38154857918364676
ALPHA_IC,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,MARKET_TREND,BEAR,59,True,2016-02-29,2026-07-31,0.005892177858270739,0.008283105488792,0.031088325629537387,0.6271186440677966,0.3728813559322034,0.0040473552579267085,1.4558094070766243,3,0.004169187345430563,1.4132677114470706,3620.6610169491523,0.007600057369464336,True,0.7752807080041857
ALPHA_IC,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,MARKET_VOL,HIGH_VOL,61,True,2016-02-29,2026-07-31,0.007004652282279402,0.0058352831779962,0.03931105511716173,0.5409836065573771,0.45901639344262296,0.005033264844071492,1.3916717079829286,3,0.0054492860665265415,1.2854256863678062,3950.065573770492,0.007600057369464336,True,0.9216578167452835
ALPHA_IC,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,future_excess_return,JOINT_MARKET_REGIME,BEAR_HIGH_VOL,40,True,2016-02-29,2026-07-31,0.005700232653476382,0.007437874423265749,0.03440229137606114,0.575,0.425,0.005439479873856072,1.0479370795861518,3,0.0058648080269628556,0.9719384892515057,3739.45,0.007600057369464336,True,0.7500249506508848
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,RAW,252,future_excess_return,ALL_SAMPLE,ALL,126,True,2016-02-29,2026-07-31,0.002500401661542384,0.0035830747174807496,0.04630159361051639,0.5317460317460317,0.46825396825396826,0.004124873803623661,0.6061765233510431,4,0.003951719342174066,0.6327376630362546,3737.5079365079364,0.002500401661542384,True,
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,RAW,252,future_excess_return,TIME_SUBSAMPLE,P1_2015_2018,35,True,2016-02-29,2018-12-28,-0.0067923146004033146,-0.0045475816111376,0.04690049856871125,0.4857142857142857,0.5142857142857142,0.007927631182847002,-0.8567899343122609,3,0.007369372583557213,-0.921695100008724,2203.342857142857,0.002500401661542384,False,
ALPHA_IC,6,delta_cross_industry_degree_percentile_1m,RAW,252,future_excess_return,MARKET_TREND,BEAR,59,True,2016-02-29,2026-07-31,-2.541994375328472e-05,0.0068039128251434,0.04794867539130475,0.559322033898305,0.4406779661016949,0.006242385832166995,-0.004072151968290046,3,0.005612264915864433,-0.004529355640612948,3620.6610169491523,0.002500401661542384,False,
