window_size,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,windows_selected,total_windows,mean_partial_all_windows,mean_abs_partial_all_windows,persistence,mean_partial_when_selected,mean_abs_partial_when_selected
252,000725,京东方A,电子,603501,韦尔股份,电子,True,18,18,0.10052264704494826,0.10052264704494826,1.0,0.10052264704494826,0.10052264704494826
252,000858,五粮液,食品饮料,002415,海康威视,电子,False,15,18,0.02807524201847718,0.02807524201847718,0.8333333333333334,0.033690290422172614,0.033690290422172614
252,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,12,18,0.016963793852597244,0.016963793852597244,0.6666666666666666,0.025445690778895868,0.025445690778895868
252,000858,五粮液,食品饮料,002475,立讯精密,电子,False,2,18,0.004855900680558831,0.004855900680558831,0.1111111111111111,0.04370310612502948,0.04370310612502948
252,000858,五粮液,食品饮料,600030,中信证券,非银金融,False,18,18,0.03849693199250167,0.03849693199250167,1.0,0.03849693199250167,0.03849693199250167
252,000858,五粮液,食品饮料,600036,招商银行,银行,False,0,18,0.0,0.0,0.0,,
252,000858,五粮液,食品饮料,600519,贵州茅台,食品饮料,True,18,18,0.3247600281042251,0.3247600281042251,1.0,0.3247600281042251,0.3247600281042251
252,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,18,18,0.15858132154369123,0.15858132154369123,1.0,0.15858132154369123,0.15858132154369123
252,000858,五粮液,食品饮料,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
252,000858,五粮液,食品饮料,601318,中国平安,非银金融,False,18,18,0.07636055438827301,0.07636055438827301,1.0,0.07636055438827301,0.07636055438827301
252,000858,五粮液,食品饮料,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
252,000858,五粮液,食品饮料,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
252,002415,海康威视,电子,002460,赣锋锂业,新能源,False,18,18,0.10498740434664769,0.10498740434664769,1.0,0.10498740434664769,0.10498740434664769
252,002415,海康威视,电子,002475,立讯精密,电子,True,16,18,0.049748106307994054,0.049748106307994054,0.8888888888888888,0.05596661959649331,0.05596661959649331
252,002415,海康威视,电子,600030,中信证券,非银金融,False,18,18,0.0920760040769243,0.0920760040769243,1.0,0.0920760040769243,0.0920760040769243
252,002415,海康威视,电子,600036,招商银行,银行,False,0,18,0.0,0.0,0.0,,
252,002415,海康威视,电子,600519,贵州茅台,食品饮料,False,9,18,0.020271759833853896,0.020271759833853896,0.5,0.04054351966770779,0.04054351966770779
