analysis_date,window,density_fraction,density_percent,common_node_count,common_valid_pair_count,edge_budget_k,raw_positive_pair_count,residual_positive_pair_count,raw_edge_threshold,residual_edge_threshold,raw_residual_overlap_count,raw_residual_overlap_fraction,raw_residual_jaccard,common_industry_labeled_pair_count,common_same_industry_pair_share,raw_same_industry_edge_share,residual_same_industry_edge_share,raw_industry_enrichment,residual_industry_enrichment
2016-10-31,60,0.01,1.0,2451,2991136,29911,2873220,1463695,0.6616380214691162,0.3614320158958435,7759,0.2594028952559259,0.14903098169525383,2991136,0.049128157328854324,0.1301862191167129,0.1727792450937782,2.64993083793621,3.516908723794128
2016-11-30,60,0.01,1.0,2460,3010162,30101,2814463,1474338,0.627115786075592,0.36970534920692444,9032,0.30005647652901896,0.17650967363689662,3010162,0.0491109780802495,0.13693897212717185,0.17138965482874324,2.7883576642152703,3.4898440537813156
2016-12-30,60,0.01,1.0,2499,3110113,31101,2952329,1523606,0.6854172945022583,0.36761313676834106,7352,0.23639111282595415,0.13403828623518688,3110113,0.049192103309429594,0.1252371306388862,0.16070222822417285,2.545878753163205,3.2668297839049294
2017-01-26,60,0.01,1.0,2537,3205770,32057,3063012,1578154,0.7306199669837952,0.3756449818611145,6971,0.21745640577720934,0.12199219501951244,3205770,0.04939218970793288,0.11679196431356646,0.15163614811117695,2.3645836518725654,3.070043037327067
2017-02-28,60,0.01,1.0,2579,3315267,33152,3157443,1644939,0.7540801167488098,0.3791992962360382,6416,0.19353281853281853,0.10713331552230831,3315267,0.04978422552391708,0.10729367760617761,0.14318894787644787,2.155174183730791,2.8761911302136816
2017-03-31,60,0.01,1.0,2663,3534883,35348,3259664,1756878,0.675109326839447,0.37530919909477234,8114,0.22954622609482855,0.12965389409095268,3534883,0.04993715492139344,0.11234016068801629,0.14841009392327714,2.2496307782221883,2.9719373111441953
2017-04-28,60,0.01,1.0,2696,3619761,36197,3336443,1821281,0.6189037561416626,0.3959921896457672,14546,0.4018565074453684,0.2514520813165537,3619761,0.050088942336248166,0.10934607840428764,0.1481338232450203,2.183038277595183,2.957415675711312
2017-05-31,60,0.01,1.0,2699,3625791,36257,3369194,1826743,0.6555337309837341,0.3886079788208008,13107,0.3615026063932482,0.22063056542158332,3625791,0.04963965104442038,0.09490581129161266,0.13365694900295116,1.911895214708209,2.6925440890659633
2017-06-30,60,0.01,1.0,2750,3762625,37626,3519678,1881139,0.719561755657196,0.399784117937088,13475,0.3581300164779674,0.21812324975314437,3762625,0.05008816982824491,0.08712060809015043,0.11933237654813161,1.739345006792857,2.3824463332824677
2017-07-31,60,0.01,1.0,2783,3860642,38606,3642830,1898928,0.769004762172699,0.3900763988494873,8133,0.21066673574055847,0.11773476744017719,3860642,0.049420536791549174,0.09141066155519867,0.16051909029684505,1.8496493055257492,3.2480240142655337
