trade_date,window,min_valid_ratio,required_valid_days,current_universe_count,eligible_stock_count,eligible_stock_ratio,p_over_w,possible_pair_count,dense_matrix_memory_mb_float64,covariance_dimensionally_singular,covariance_rank_upper_bound,minimum_rank_deficiency,eligible_jaccard_vs_previous_day,entered_count,exited_count
2024-07-17,120,0.9,108,5109,5058,0.9900176159718145,42.15,12789153,195.18557739257812,True,119,4939,0.9998023324767741,0.0,1.0
2024-07-17,120,0.95,114,5109,5043,0.987081620669407,42.025,12713403,194.02960968017578,True,119,4924,1.0,0.0,0.0
2024-07-18,120,0.8,96,5107,5072,0.9931466614450754,42.266666666666666,12860056,196.267578125,True,119,4953,0.9996058336618053,0.0,2.0
2024-07-18,120,0.9,108,5107,5058,0.9904053260231055,42.15,12789153,195.18557739257812,True,119,4939,1.0,0.0,0.0
2024-07-18,120,0.95,114,5107,5046,0.9880556099471314,42.05,12728535,194.26052856445312,True,119,4927,0.9994054696789536,3.0,0.0
2024-07-19,120,0.8,96,5107,5071,0.9929508517720775,42.25833333333333,12854985,196.19019317626953,True,119,4952,0.9994086339444116,1.0,2.0
2024-07-19,120,0.9,108,5107,5058,0.9904053260231055,42.15,12789153,195.18557739257812,True,119,4939,0.9996046649535482,1.0,1.0
2024-07-19,120,0.95,114,5107,5047,0.9882514196201292,42.05833333333333,12733581,194.33753204345703,True,119,4928,0.9998018624925699,1.0,0.0
2024-07-22,120,0.8,96,5107,5071,0.9929508517720775,42.25833333333333,12854985,196.19019317626953,True,119,4952,1.0,0.0,0.0
2024-07-22,120,0.9,108,5107,5058,0.9904053260231055,42.15,12789153,195.18557739257812,True,119,4939,1.0,0.0,0.0
2024-07-22,120,0.95,114,5107,5047,0.9882514196201292,42.05833333333333,12733581,194.33753204345703,True,119,4928,1.0,0.0,0.0
2024-07-23,120,0.8,96,5107,5072,0.9931466614450754,42.266666666666666,12860056,196.267578125,True,119,4953,0.9998028391167192,1.0,0.0
2024-07-23,120,0.9,108,5107,5058,0.9904053260231055,42.15,12789153,195.18557739257812,True,119,4939,1.0,0.0,0.0
2024-07-23,120,0.95,114,5107,5047,0.9882514196201292,42.05833333333333,12733581,194.33753204345703,True,119,4928,1.0,0.0,0.0
2024-07-24,120,0.8,96,5106,5071,0.9931453192322758,42.25833333333333,12854985,196.19019317626953,True,119,4952,0.9998028391167192,0.0,1.0
2024-07-24,120,0.9,108,5106,5059,0.990795142969056,42.15833333333333,12794211,195.26276397705078,True,119,4940,0.9998023324767741,1.0,0.0
2024-07-24,120,0.95,114,5106,5048,0.9886408147277712,42.06666666666667,12738628,194.41455078125,True,119,4929,0.9998019017432647,1.0,0.0
2024-07-25,120,0.8,96,5105,5071,0.9933398628795299,42.25833333333333,12854985,196.19019317626953,True,119,4952,1.0,0.0,0.0
