design,window_size,step,replacement_ratio,overlap_ratio,window_id,window_start,network_date,edge_count,density,same_edges,cross_edges,same_industry_ratio,mean_abs_partial
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,4,2024-09-09,2025-03-21,56,0.5333333333333333,19,37,0.3392857142857143,0.1163722608081786
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,5,2024-09-25,2025-04-07,54,0.5142857142857142,19,35,0.35185185185185186,0.12192974387713341
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,6,2024-10-16,2025-04-21,47,0.44761904761904764,19,28,0.40425531914893614,0.13172933786470925
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,7,2024-10-30,2025-05-08,46,0.4380952380952381,19,27,0.41304347826086957,0.13276204022318014
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,8,2024-11-13,2025-05-22,46,0.4380952380952381,19,27,0.41304347826086957,0.13377599815373067
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,9,2024-11-27,2025-06-06,45,0.42857142857142855,18,27,0.4,0.13671843466467873
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,10,2024-12-11,2025-06-20,45,0.42857142857142855,17,28,0.37777777777777777,0.13517680809936336
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,11,2024-12-25,2025-07-04,45,0.42857142857142855,17,28,0.37777777777777777,0.13292441346130157
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,12,2025-01-09,2025-07-18,43,0.4095238095238095,18,25,0.4186046511627907,0.13638738697056282
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,13,2025-01-23,2025-08-01,39,0.37142857142857144,18,21,0.46153846153846156,0.14847323695624468
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,14,2025-02-14,2025-08-15,41,0.3904761904761905,18,23,0.43902439024390244,0.14067901510940253
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,15,2025-02-28,2025-08-29,49,0.4666666666666667,19,30,0.3877551020408163,0.12016954287776078
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,16,2025-03-14,2025-09-12,48,0.45714285714285713,19,29,0.3958333333333333,0.12472169775400488
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,17,2025-03-28,2025-09-26,45,0.42857142857142855,19,26,0.4222222222222222,0.13111466900146024
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,18,2025-04-14,2025-10-20,40,0.38095238095238093,18,22,0.45,0.1339832351982111
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,19,2025-04-28,2025-11-03,40,0.38095238095238093,18,22,0.45,0.13015303080601912
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,20,2025-05-15,2025-11-17,42,0.4,18,24,0.42857142857142855,0.1253896298423041
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,21,2025-05-29,2025-12-01,40,0.38095238095238093,18,22,0.45,0.129832143347301
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,22,2025-06-13,2025-12-15,44,0.41904761904761906,19,25,0.4318181818181818,0.11513940969932648
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,23,2025-06-27,2025-12-29,41,0.3904761904761905,18,23,0.43902439024390244,0.12513318690312178
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,24,2025-07-11,2026-01-14,41,0.3904761904761905,17,24,0.4146341463414634,0.12350505407975887
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,25,2025-07-25,2026-01-28,39,0.37142857142857144,16,23,0.41025641025641024,0.13044694041474672
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,26,2025-08-08,2026-02-11,40,0.38095238095238093,16,24,0.4,0.1267224757733478
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,27,2025-08-22,2026-03-05,38,0.3619047619047619,16,22,0.42105263157894735,0.1355670755952621
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,28,2025-09-05,2026-03-19,40,0.38095238095238093,18,22,0.45,0.1260679472480751
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,29,2025-09-19,2026-04-02,39,0.37142857142857144,16,23,0.41025641025641024,0.13007276714023405
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,30,2025-10-13,2026-04-17,39,0.37142857142857144,17,22,0.4358974358974359,0.13406474765536172
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,31,2025-10-27,2026-05-06,40,0.38095238095238093,18,22,0.45,0.12325200126475791
fixed_overlap,126,10,0.07936507936507936,0.9206349206349207,32,2025-11-10,2026-05-20,44,0.41904761904761906,19,25,0.4318181818181818,0.11253793998425489
