factor_order,factor_name,neutralization,window,month_count,mean_q1_return,mean_q5_return,mean_q5_minus_q1,mean_q5_minus_q1_bps,positive_spread_share,negative_spread_share,mean_portfolio_spearman,hac_lag,hac_spread_se,hac_spread_t_stat
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,60,135,-0.0024059789141007014,-0.0007246223424790757,0.001681356571621626,16.81356571621626,0.5703703703703704,0.42962962962962964,0.07555555555555556,4,0.0010086728848093783,1.666899742169012
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,120,132,-0.0016298919528786532,-0.0010348041039556551,0.000595087848922998,5.9508784892299795,0.5454545454545454,0.45454545454545453,0.024242424242424242,4,0.0009062374953780299,0.6566577215774566
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,126,-0.0016124950864697893,-0.0007181309695888008,0.0008943641168809889,8.943641168809888,0.5873015873015873,0.4126984126984127,0.06269841269841271,4,0.000996228369822797,0.8977500982431096
5,delta_residual_degree_percentile_1m,RAW,60,135,-0.002878095862016692,-0.0007453815639329301,0.0021327142980837625,21.327142980837625,0.5333333333333333,0.4666666666666667,0.07555555555555553,4,0.0013517534897674543,1.5777390731579757
5,delta_residual_degree_percentile_1m,RAW,120,132,-0.0017770430962226194,-0.0007846425011052652,0.000992400595117354,9.924005951173541,0.5606060606060606,0.4393939393939394,0.07045454545454545,4,0.001433162848804674,0.692454870669487
5,delta_residual_degree_percentile_1m,RAW,252,122,-0.0009443177662731955,-0.0012635034911560553,-0.0003191857248828601,-3.191857248828601,0.5491803278688525,0.45081967213114754,0.024590163934426222,4,0.0012990047013990336,-0.2457156040613985
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,60,135,-0.0027187216901088237,-0.0004984697787933209,0.0022202519113155017,22.202519113155017,0.5777777777777777,0.4222222222222222,0.08222222222222224,4,0.0009597042509151699,2.313475124444097
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,120,132,-0.0019353231922567262,-0.0006009819725883428,0.0013343412196683837,13.343412196683836,0.5909090909090909,0.4090909090909091,0.04166666666666665,4,0.0007485008521686284,1.7826849706348393
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,252,126,-0.0011787663743258383,-0.000989785048314483,0.00018898132601135519,1.8898132601135518,0.5873015873015873,0.4126984126984127,0.04920634920634919,4,0.0008983641999283046,0.2103615950262011
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,60,135,-0.002682977043063808,-0.0005427504426841146,0.0021402266003796937,21.40226600379694,0.562962962962963,0.43703703703703706,0.05629629629629629,4,0.0009068298197995634,2.3601193450527997
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,120,132,-0.0019673348520303103,-0.0006180465983251998,0.00134928825370511,13.4928825370511,0.5909090909090909,0.4090909090909091,0.05303030303030303,4,0.0007764105680691515,1.7378540545379786
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,126,-0.001273061166622713,-0.0006382323509880559,0.0006348288156346573,6.348288156346573,0.5634920634920635,0.4365079365079365,0.060317460317460304,4,0.0008297389757260638,0.7650946071071928
6,delta_cross_industry_degree_percentile_1m,RAW,60,135,-0.00254211369798237,-0.0005681978563774304,0.0019739158416049395,19.739158416049396,0.5777777777777777,0.4222222222222222,0.06370370370370372,4,0.0011582829216238908,1.7041741743351848
6,delta_cross_industry_degree_percentile_1m,RAW,120,131,-0.001859794683914877,-0.000522228920797071,0.0013375657631178063,13.375657631178063,0.5877862595419847,0.4122137404580153,0.07251908396946564,4,0.001107737077723488,1.207475844237912
6,delta_cross_industry_degree_percentile_1m,RAW,252,121,-0.0008286779007544918,-0.0010824694893623817,-0.0002537915886078901,-2.537915886078901,0.5289256198347108,0.47107438016528924,0.026446280991735537,4,0.0012577542029832548,-0.201781546828406
7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,60,135,-0.0021670383445957634,-0.0018076577333253755,0.0003593806112703879,3.593806112703879,0.4888888888888889,0.5111111111111111,-0.01259259259259258,4,0.0014757681166971944,0.24352105673260555
7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,120,132,-0.002047728904638478,-0.0015689441015868484,0.00047878480305163,4.7878480305163,0.4772727272727273,0.5227272727272727,0.0030303030303030264,4,0.0013986194413302846,0.342326717978579
7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,252,126,-0.002294573983260838,0.00010297607230654211,0.0023975500555673806,23.975500555673804,0.5634920634920635,0.4365079365079365,0.0738095238095238,4,0.0011801911877903062,2.031492931290529
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,60,135,-0.0036074547146983035,-0.0012044392214066045,0.0024030154932916984,24.030154932916982,0.5185185185185185,0.48148148148148145,0.03999999999999999,4,0.0015317911917495462,1.5687617909246998
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,120,132,-0.0028799231915108358,-0.0007825800670509642,0.0020973431244598714,20.973431244598714,0.553030303030303,0.44696969696969696,0.0909090909090909,4,0.0013568246723889945,1.5457731327711104
7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,252,126,-0.002683399836900262,0.0008173524971017741,0.003500752334002036,35.007523340020356,0.5873015873015873,0.4126984126984127,0.09841269841269838,4,0.00122207356416891,2.8646003290176534
7,neighbor_jaccard_1m,RAW,60,117,-0.0019598689120399956,-0.0018045689461169798,0.00015529996592301572,1.5529996592301571,0.49572649572649574,0.5042735042735043,0.03675213675213675,4,0.0020827576070364686,0.07456458946463301
