factor_order,factor_name,neutralization,target_name,window,month_count,mean_risk_ic,median_risk_ic,positive_ic_share,negative_ic_share,hac_lag,hac_risk_ic_se,hac_risk_ic_t_stat
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,120,133,-0.05961692233157178,-0.07223777874112776,0.22556390977443608,0.7744360902255639,4,0.01201546863482943,-4.961680991680946
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,252,127,-0.05184745817544538,-0.04933747943604085,0.2440944881889764,0.7559055118110236,4,0.011600642948585711,-4.469360741920459
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,60,136,-0.07459948946142664,-0.08466338419504518,0.19117647058823528,0.8088235294117647,4,0.013017584925534627,-5.730670465233233
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,120,133,-0.06759796826966219,-0.07296534776834071,0.18796992481203006,0.8120300751879699,4,0.013564707034147383,-4.983371045131539
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,252,127,-0.05612029466487627,-0.05233753632415055,0.2283464566929134,0.7716535433070866,4,0.013598298607497833,-4.127008553403339
3,cross_industry_degree_percentile,RAW,future_downside_vol_annualized,60,136,-0.11306432963221981,-0.12690436156539847,0.15441176470588236,0.8455882352941176,4,0.018406978863317897,-6.14247077001531
3,cross_industry_degree_percentile,RAW,future_downside_vol_annualized,120,133,-0.11188003252100034,-0.12072810442414382,0.16541353383458646,0.8345864661654135,4,0.018934977668116734,-5.908643489418379
3,cross_industry_degree_percentile,RAW,future_downside_vol_annualized,252,127,-0.1075867604269994,-0.10092610632753558,0.1732283464566929,0.8267716535433071,4,0.019228976406031918,-5.595033149723488
3,cross_industry_degree_percentile,RAW,future_idio_vol_annualized,60,136,-0.12169462408798734,-0.12177978290711863,0.07352941176470588,0.9264705882352942,4,0.011690815773621206,-10.409421074154237
3,cross_industry_degree_percentile,RAW,future_idio_vol_annualized,120,133,-0.10211377648722864,-0.10229502070870605,0.09774436090225563,0.9022556390977443,4,0.012328384702448852,-8.282818791901038
3,cross_industry_degree_percentile,RAW,future_idio_vol_annualized,252,127,-0.0759152182651263,-0.07009570075140512,0.14960629921259844,0.8503937007874016,4,0.01252859140847732,-6.059357815257602
3,cross_industry_degree_percentile,RAW,future_max_drawdown,60,136,-0.0975225129350327,-0.11227322664345185,0.16911764705882354,0.8308823529411765,4,0.015350913525435765,-6.352880092343842
3,cross_industry_degree_percentile,RAW,future_max_drawdown,120,133,-0.0949989130074512,-0.09412853676541798,0.19548872180451127,0.8045112781954887,4,0.014785505249112063,-6.425138093482217
3,cross_industry_degree_percentile,RAW,future_max_drawdown,252,127,-0.0923556717152678,-0.09532474781658479,0.1732283464566929,0.8267716535433071,4,0.015001542478382127,-6.156411705553368
3,cross_industry_degree_percentile,RAW,future_realized_vol_annualized,60,136,-0.12140306539249819,-0.13836171046706452,0.1323529411764706,0.8676470588235294,4,0.016973883490237988,-7.152344686607486
3,cross_industry_degree_percentile,RAW,future_realized_vol_annualized,120,133,-0.11908193337808483,-0.12690353515335934,0.13533834586466165,0.8646616541353384,4,0.018349009237399187,-6.4898290603816635
3,cross_industry_degree_percentile,RAW,future_realized_vol_annualized,252,127,-0.11181484704474777,-0.11288849366981935,0.18110236220472442,0.8188976377952756,4,0.018783628677016998,-5.9527820192463965
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_downside_vol_annualized,60,136,0.012833396006112953,0.008226263727983272,0.5955882352941176,0.40441176470588236,4,0.004998115220398867,2.5676470909945937
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_downside_vol_annualized,120,133,0.0034527476109492534,0.003984761339868482,0.518796992481203,0.48120300751879697,4,0.005237045086646904,0.6592930849025641
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_downside_vol_annualized,252,127,-0.011994652473160837,-0.007222805008338958,0.44881889763779526,0.5511811023622047,4,0.006648242063760908,-1.8041840772529671
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_idio_vol_annualized,60,136,0.011411291076041639,0.013152224999059568,0.6323529411764706,0.36764705882352944,4,0.0044305057207329746,2.575618178900303
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_idio_vol_annualized,120,133,0.0013130947872445206,-0.0008064349838487238,0.48872180451127817,0.5112781954887218,4,0.004892041340758028,0.26841449116639204
4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_idio_vol_annualized,252,127,-0.006079908262457205,-0.003597792536950206,0.4566929133858268,0.5433070866141733,4,0.005758911506340089,-1.0557391367732816
