factor_order,factor_name,neutralization,window,month_count,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_ic_share,negative_ic_share,hac_lag,hac_alpha_ic_se,hac_alpha_ic_t_stat
4,cross_industry_degree_ratio,RAW,120,133,0.008566537115641338,0.010967132925715235,0.07530996115185785,0.556390977443609,0.44360902255639095,4,0.006296733045754261,1.3604732888299198
4,cross_industry_degree_ratio,RAW,252,127,0.0016210473300158736,1.6932501386339568e-05,0.06926558399298295,0.5039370078740157,0.49606299212598426,4,0.006281233063088344,0.25807788275553023
5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,60,135,0.008229985130498276,0.007076544005645894,0.03592214584780009,0.5555555555555556,0.4444444444444444,4,0.003568557324750438,2.3062499440369306
5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,120,132,0.006134829607586556,0.007546977314076376,0.03426472653495696,0.5984848484848485,0.4015151515151515,4,0.0033274756476621547,1.8436888071282551
5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,252,126,0.005762570935980549,0.008007463640637182,0.0364066453670191,0.5952380952380952,0.40476190476190477,4,0.0032089927809969584,1.7957569023231812
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,60,135,0.007306474945740261,0.006533369974773032,0.034560365482399255,0.5777777777777777,0.4222222222222222,4,0.003506953390776505,2.0834251646904467
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,120,132,0.006257083985748034,0.007939897669540872,0.03335064480200599,0.5833333333333334,0.4166666666666667,4,0.003325689821618869,1.8814394370375256
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,252,126,0.0076000573694643475,0.008641198640188131,0.03236006710890915,0.6031746031746031,0.3968253968253968,4,0.002993271151216672,2.539047411850797
5,delta_residual_degree_percentile_1m,RAW,60,135,0.008511481167577977,0.00505300830425896,0.051417387692478625,0.5333333333333333,0.4666666666666667,4,0.004772410669440526,1.7834762674721338
5,delta_residual_degree_percentile_1m,RAW,120,132,0.006457960470612786,0.010281800379974563,0.050428636465195346,0.5606060606060606,0.4393939393939394,4,0.004955407284221533,1.3032148722014272
5,delta_residual_degree_percentile_1m,RAW,252,126,0.0017470135578395779,0.008661534322029327,0.05312264088073802,0.5476190476190477,0.4523809523809524,4,0.00438916065421185,0.3980290755962963
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,60,135,0.008873034656838518,0.005315971959604958,0.03436928290059775,0.5925925925925926,0.4074074074074074,4,0.003460196416445443,2.564315313046166
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,120,132,0.006187327385370825,0.007070100592193415,0.03217492418815269,0.5833333333333334,0.4166666666666667,4,0.003072338137449333,2.013882296988172
