analysis_date,window,factor_order,factor_name,neutralization,target_name,pair_n,risk_rank_ic,ic_status
2015-05-29,60,3,cross_industry_degree_percentile,RAW,future_downside_vol_annualized,1914,-0.11626300050713066,PASS
2015-05-29,60,3,cross_industry_degree_percentile,RAW,future_max_drawdown,1914,-0.1392751511848289,PASS
2015-05-29,60,3,cross_industry_degree_percentile,RAW,future_idio_vol_annualized,1914,-0.011991791225855163,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_realized_vol_annualized,1914,-0.03334238074591511,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_downside_vol_annualized,1914,-0.07188666784583973,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_max_drawdown,1914,-0.09626884506877884,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_idio_vol_annualized,1914,-0.005759280722549945,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_realized_vol_annualized,1914,-0.003052031096779086,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_downside_vol_annualized,1914,-0.04549278652893249,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_max_drawdown,1914,-0.07966541164613196,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_idio_vol_annualized,1914,0.003901227066167692,PASS
2015-05-29,60,4,cross_industry_degree_ratio,RAW,future_realized_vol_annualized,1898,0.05109912905232108,PASS
2015-05-29,60,4,cross_industry_degree_ratio,RAW,future_downside_vol_annualized,1898,0.08968822423837973,PASS
2015-05-29,60,4,cross_industry_degree_ratio,RAW,future_max_drawdown,1898,0.0921381752667947,PASS
2015-05-29,60,4,cross_industry_degree_ratio,RAW,future_idio_vol_annualized,1898,0.06115551167022134,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_realized_vol_annualized,1898,0.03277334177636246,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_downside_vol_annualized,1898,0.07532363875070124,PASS
