stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,industry_relation,persistence_before,core_before,always_before,mean_abs_partial_before,persistence_after,core_after,always_after,mean_abs_partial_after,delta_persistence,abs_delta_persistence,core_transition,regime_before,regime_after
000568,000725,泸州老窖,京东方A,食品饮料,电子,False,Cross industry,0.4,False,False,0.0122519526371869,0.5,False,False,0.00345935542046516,0.09999999999999998,0.09999999999999998,Non-core both,2,3
000568,000858,泸州老窖,五粮液,食品饮料,食品饮料,True,Same industry,1.0,True,True,0.41444035173707805,1.0,True,True,0.3862783614488967,0.0,0.0,Persistent core,2,3
000568,002415,泸州老窖,海康威视,食品饮料,电子,False,Cross industry,0.2,False,False,0.0036245227488263,0.7,False,False,0.008726901789975428,0.49999999999999994,0.49999999999999994,Non-core both,2,3
000568,002460,泸州老窖,赣锋锂业,食品饮料,新能源,False,Cross industry,1.0,True,True,0.06185756301919847,1.0,True,True,0.06483999748148156,0.0,0.0,Persistent core,2,3
000568,002475,泸州老窖,立讯精密,食品饮料,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,2,3
000568,600030,泸州老窖,中信证券,食品饮料,非银金融,False,Cross industry,1.0,True,True,0.053631024058511126,1.0,True,True,0.08247479320538688,0.0,0.0,Persistent core,2,3
000568,600036,泸州老窖,招商银行,食品饮料,银行,False,Cross industry,0.4,False,False,0.00536971620717475,0.1,False,False,0.0015861629685572,-0.30000000000000004,0.30000000000000004,Non-core both,2,3
000568,600519,泸州老窖,贵州茅台,食品饮料,食品饮料,True,Same industry,1.0,True,True,0.24141647437913627,1.0,True,True,0.204245734123079,0.0,0.0,Persistent core,2,3
000568,600887,泸州老窖,伊利股份,食品饮料,食品饮料,True,Same industry,1.0,True,True,0.06464737342566021,1.0,True,True,0.0948435411316724,0.0,0.0,Persistent core,2,3
000568,601288,泸州老窖,农业银行,食品饮料,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,2,3
000568,601318,泸州老窖,中国平安,食品饮料,非银金融,False,Cross industry,1.0,True,True,0.0805770048277967,1.0,True,True,0.10154180125386322,0.0,0.0,Persistent core,2,3
000568,601398,泸州老窖,工商银行,食品饮料,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,2,3
000568,603501,泸州老窖,韦尔股份,食品饮料,电子,False,Cross industry,0.8,True,False,0.0175358446425426,0.1,False,False,0.0150214638988201,-0.7000000000000001,0.7000000000000001,Lost core,2,3
000725,000858,京东方A,五粮液,电子,食品饮料,False,Cross industry,1.0,True,True,0.030120429837727537,1.0,True,True,0.024916205959323888,0.0,0.0,Persistent core,2,3
000725,002415,京东方A,海康威视,电子,电子,True,Same industry,1.0,True,True,0.1655823619836579,1.0,True,True,0.2044062295715805,0.0,0.0,Persistent core,2,3
000725,002460,京东方A,赣锋锂业,电子,新能源,False,Cross industry,1.0,True,True,0.14438756516022402,1.0,True,True,0.11478220752592602,0.0,0.0,Persistent core,2,3
000725,002475,京东方A,立讯精密,电子,电子,True,Same industry,1.0,True,True,0.1123642358259167,1.0,True,True,0.19178671293102506,0.0,0.0,Persistent core,2,3
000725,600030,京东方A,中信证券,电子,非银金融,False,Cross industry,0.6,False,False,0.02098876112662393,1.0,True,True,0.08873474668808355,0.4,0.4,Gained core,2,3
000725,600036,京东方A,招商银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,2,3
000725,600519,京东方A,贵州茅台,电子,食品饮料,False,Cross industry,0.0,False,False,,0.1,False,False,0.0068960336740247,0.1,0.1,Non-core both,2,3
000725,600887,京东方A,伊利股份,电子,食品饮料,False,Cross industry,0.8,True,False,0.0358023668295342,1.0,True,True,0.014616474823449938,0.19999999999999996,0.19999999999999996,Persistent core,2,3
000725,601288,京东方A,农业银行,电子,银行,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,2,3
