regime,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,industry_relation,n_regime_windows,windows_selected,persistence,is_core_edge,is_always_edge,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected
2,002415,海康威视,电子,002460,赣锋锂业,新能源,False,Cross industry,5,5,1.0,True,True,0.06878245600657168,0.06878245600657168,0.12128986394885
2,002415,海康威视,电子,002475,立讯精密,电子,True,Same industry,5,5,1.0,True,True,0.0802452192521863,0.0802452192521863,0.0908506274756622
2,002415,海康威视,电子,600030,中信证券,非银金融,False,Cross industry,5,5,1.0,True,True,0.10863648268755506,0.10863648268755506,0.1637834248012767
2,002415,海康威视,电子,600036,招商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,002415,海康威视,电子,600519,贵州茅台,食品饮料,False,Cross industry,5,0,0.0,False,False,,,
2,002415,海康威视,电子,600887,伊利股份,食品饮料,False,Cross industry,5,5,1.0,True,True,0.0820470916709439,0.0820470916709439,0.0930122758386074
2,002415,海康威视,电子,601288,农业银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,002415,海康威视,电子,601318,中国平安,非银金融,False,Cross industry,5,5,1.0,True,True,0.1509804832159553,0.1509804832159553,0.1793344165768067
2,002415,海康威视,电子,601398,工商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,002415,海康威视,电子,603501,韦尔股份,电子,True,Same industry,5,5,1.0,True,True,0.17493568766929682,0.17493568766929682,0.2117586872039042
2,002460,赣锋锂业,新能源,002475,立讯精密,电子,False,Cross industry,5,4,0.8,True,False,0.026326697015308275,0.026326697015308275,0.042273700621683
2,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,Cross industry,5,5,1.0,True,True,0.13205920097626273,0.13205920097626273,0.1712534710620672
2,002460,赣锋锂业,新能源,600036,招商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,False,Cross industry,5,0,0.0,False,False,,,
2,002460,赣锋锂业,新能源,600887,伊利股份,食品饮料,False,Cross industry,5,4,0.8,True,False,0.023106767221903326,0.023106767221903326,0.0373005358863601
2,002460,赣锋锂业,新能源,601288,农业银行,银行,False,Cross industry,5,5,1.0,True,True,-0.05344889773236072,0.05344889773236072,0.0830072158854304
2,002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,Cross industry,5,0,0.0,False,False,,,
2,002460,赣锋锂业,新能源,601398,工商银行,银行,False,Cross industry,5,2,0.4,False,False,-0.01890502296589955,0.01890502296589955,0.0212064606767102
2,002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,Cross industry,5,5,1.0,True,True,0.1056694880610974,0.1056694880610974,0.1411739422219409
2,002475,立讯精密,电子,600030,中信证券,非银金融,False,Cross industry,5,2,0.4,False,False,0.041864059029677755,0.041864059029677755,0.04819164361118
2,002475,立讯精密,电子,600036,招商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,002475,立讯精密,电子,600519,贵州茅台,食品饮料,False,Cross industry,5,3,0.6,False,False,0.011153061314710734,0.011153061314710734,0.017355234495153
2,002475,立讯精密,电子,600887,伊利股份,食品饮料,False,Cross industry,5,0,0.0,False,False,,,
2,002475,立讯精密,电子,601288,农业银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,002475,立讯精密,电子,601318,中国平安,非银金融,False,Cross industry,5,0,0.0,False,False,,,
2,002475,立讯精密,电子,601398,工商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,002475,立讯精密,电子,603501,韦尔股份,电子,True,Same industry,5,5,1.0,True,True,0.21658126196606053,0.21658126196606053,0.2269948693831472
2,600030,中信证券,非银金融,600036,招商银行,银行,False,Cross industry,5,0,0.0,False,False,,,
2,600030,中信证券,非银金融,600519,贵州茅台,食品饮料,False,Cross industry,5,5,1.0,True,True,0.012684067332869604,0.012684067332869604,0.0187971254115986
