network_date,regime,stock_code,stock_name,industry,degree,strength,same_degree,cross_degree,same_strength,cross_strength,degree_rank,strength_rank,degree_top5,strength_top5
2024-12-16,2,002460,赣锋锂业,新能源,9,0.6811013378367312,0,9,0.0,0.6811013378367312,5.0,13.0,True,False
2024-12-16,2,002475,立讯精密,电子,6,0.49234775215826954,3,3,0.40653817276851345,0.0858095793897561,11.5,15.0,False,False
2024-12-16,2,600030,中信证券,非银金融,9,0.6703027020945219,1,8,0.0941618414540371,0.5761408606404849,5.0,14.0,True,False
2024-12-16,2,600036,招商银行,银行,4,0.8494227167174616,2,2,0.5233670356867586,0.326055681030703,13.0,8.0,False,False
2024-12-16,2,600519,贵州茅台,食品饮料,7,0.9232075280222064,3,4,0.7619653251037666,0.1612422029184398,9.5,5.0,False,True
2024-12-16,2,600887,伊利股份,食品饮料,9,0.7671833905589365,3,6,0.4721180553837867,0.2950653351751498,5.0,10.0,True,False
2024-12-16,2,601288,农业银行,银行,2,0.7206782686932794,1,1,0.6597205448639084,0.060957723829371,15.0,11.0,False,False
2024-12-16,2,601318,中国平安,非银金融,9,1.0885219355561764,1,8,0.0941618414540371,0.9943600941021392,5.0,2.0,True,True
2024-12-16,2,601398,工商银行,银行,3,0.8417182406002607,3,0,0.8417182406002607,0.0,14.0,9.0,False,False
2024-12-16,2,603501,韦尔股份,电子,6,0.8588856096423494,3,3,0.4845406869400183,0.3743449227023311,11.5,7.0,False,False
2025-01-14,3,000001,平安银行,银行,8,0.8947468231000218,3,5,0.4108323357838967,0.48391448731612496,9.0,6.0,False,False
2025-01-14,3,000568,泸州老窖,食品饮料,10,1.0250531939205885,3,7,0.6655282673304493,0.3595249265901392,2.5,3.0,True,True
2025-01-14,3,000725,京东方A,电子,10,0.7258512893728022,3,7,0.38838158230118036,0.3374697070716216,2.5,11.0,True,False
2025-01-14,3,000858,五粮液,食品饮料,10,1.184703881154291,3,7,0.8923998195774545,0.2923040615768363,2.5,1.0,True,True
2025-01-14,3,002415,海康威视,电子,9,0.960267505406227,3,6,0.4945412006974335,0.46572630470879356,6.5,4.0,False,True
2025-01-14,3,002460,赣锋锂业,新能源,9,0.6688218087769416,0,9,0.0,0.6688218087769416,6.5,14.0,False,False
2025-01-14,3,002475,立讯精密,电子,6,0.5131609279812744,3,3,0.42513597961750693,0.08802494836376751,11.0,15.0,False,False
2025-01-14,3,600030,中信证券,非银金融,9,0.6937025516687522,1,8,0.10240016005397,0.5913023916147822,6.5,13.0,False,False
