analysis_date,window,factor_name,family,tier,row_count,eligible_count,nonmissing_count,eligible_nonmissing_share,mean,std,q01,q25,median,q75,q99,iqr,unique_count,zero_share,varying,range_violation_count
2016-05-31,60,cross_industry_strength_ratio,industry,auxiliary,2265,2262,2262,1.0,0.8611149818651089,0.15418342904250348,0.36784708885598727,0.7933448022976075,0.9077204563502674,0.99999997378586,1.0000000455833913,0.20665517148825252,2189,0.0,True,313
2016-06-30,60,cross_industry_strength_ratio,industry,auxiliary,2284,2281,2281,1.0,0.8614501576383446,0.15347685255962645,0.39097496224267164,0.7889653965619132,0.9071477366332437,0.9999999735636002,1.0000000427145768,0.21103457700168693,2201,0.0,True,303
2016-07-29,60,cross_industry_strength_ratio,industry,auxiliary,2332,2322,2322,1.0,0.8446538198462381,0.17273622868960345,0.2946843640617672,0.7694392214414995,0.8962800340471708,0.9999999667007955,1.000000044559086,0.23056074525929604,2225,0.0017226528854435831,True,292
2016-08-31,60,cross_industry_strength_ratio,industry,auxiliary,2409,2407,2407,1.0,0.8456229811997112,0.17193420858773734,0.30769172709547454,0.7664357924419472,0.8985270643492441,0.9999999722530406,1.000000046201603,0.23356417981109345,2321,0.0004154549231408392,True,319
2016-09-30,60,cross_industry_strength_ratio,industry,auxiliary,2429,2427,2427,1.0,0.8522128860638358,0.16890702692684567,0.2863575273433235,0.7789426076236328,0.9051765366075675,0.9999999679676934,1.0000000428347988,0.22105736034406065,2354,0.0016481252575195715,True,319
2016-10-31,60,cross_industry_strength_ratio,industry,auxiliary,2451,2450,2450,1.0,0.8592106458918526,0.16746035774261675,0.26384271511050134,0.803919226667985,0.9112706748921655,0.9999999657119198,1.0000000418837434,0.19608073904393486,2396,0.0,True,308
2016-11-30,60,cross_industry_strength_ratio,industry,auxiliary,2460,2459,2459,1.0,0.8589708325342749,0.17239417372492444,0.20947086384626037,0.801805942298481,0.9123453274991543,0.9999999753266764,1.0000000434838765,0.19819403302819538,2382,0.0,True,342
2016-12-30,60,cross_industry_strength_ratio,industry,auxiliary,2499,2499,2499,1.0,0.861487234429336,0.16365446022678748,0.31159878608780456,0.8020510711092743,0.911648977100927,0.999999975008963,1.000000044193246,0.19794890389968867,2434,0.00040016006402561027,True,337
2017-01-26,60,cross_industry_strength_ratio,industry,auxiliary,2537,2536,2536,1.0,0.868692616799481,0.15164503937801152,0.36364263244423256,0.8081225195116836,0.913381228152361,0.999999973243632,1.0000000439190189,0.19187745373194842,2461,0.0007886435331230284,True,361
2017-02-28,60,cross_industry_strength_ratio,industry,auxiliary,2579,2577,2577,1.0,0.870365263973012,0.14966951433019574,0.3481793617541669,0.8060176417630223,0.9160000084065267,0.9999999726990926,1.0000000445511752,0.1939823309360703,2503,0.00038804811796662784,True,377
