analysis_date,window,factor_a,factor_b,n_pair,spearman_rho,abs_spearman_rho
2015-05-29,60,residual_degree_percentile,new_neighbor_count_1m,1819,0.9025730679600134,0.9025730679600134
2015-05-29,60,residual_degree_percentile,lost_neighbor_count_1m,1819,0.3998400858553131,0.3998400858553131
2015-05-29,60,residual_degree_percentile,within_community_degree_percentile,1914,0.9404579758621398,0.9404579758621398
2015-05-29,60,residual_degree_percentile,within_community_strength_percentile,1914,0.9406223956861597,0.9406223956861597
2015-05-29,60,residual_degree_percentile,outside_community_degree_percentile,1914,0.6695393446951124,0.6695393446951124
2015-05-29,60,residual_degree_percentile,outside_community_strength_percentile,1914,0.673960372473206,0.673960372473206
2015-05-29,60,residual_degree_percentile,outside_community_degree_ratio,1898,-0.0936536999279795,0.0936536999279795
2015-05-29,60,residual_degree_percentile,participation_coefficient_percentile,1898,-0.01568372071297144,0.01568372071297144
2015-05-29,60,residual_degree_percentile,weighted_participation_coefficient_percentile,1898,-0.03270419780907416,0.03270419780907416
2015-05-29,60,residual_degree_percentile,external_community_count,1914,0.4914965851749452,0.4914965851749452
2015-05-29,60,residual_degree_percentile,community_diversity_count,1914,0.49316875097054,0.49316875097054
2015-05-29,60,residual_strength_percentile,delta_degree_percentile,1914,0.5597575407548212,0.5597575407548212
2015-05-29,60,residual_strength_percentile,delta_strength_percentile,1914,0.5586726302784082,0.5586726302784082
2015-05-29,60,residual_strength_percentile,same_industry_degree_percentile,1914,0.7053652597729823,0.7053652597729823
2015-05-29,60,residual_strength_percentile,same_industry_strength_percentile,1914,0.7087232893653813,0.7087232893653813
2015-05-29,60,residual_strength_percentile,cross_industry_degree_percentile,1914,0.9606812955698608,0.9606812955698608
2015-05-29,60,residual_strength_percentile,cross_industry_strength_percentile,1914,0.9624599650036922,0.9624599650036922
2015-05-29,60,residual_strength_percentile,cross_industry_degree_ratio,1898,-0.4389130586735917,0.4389130586735917
2015-05-29,60,residual_strength_percentile,cross_industry_strength_ratio,1898,-0.43349053735357773,0.43349053735357773
2015-05-29,60,residual_strength_percentile,delta_residual_degree_percentile_1m,1819,0.3839389518473518,0.3839389518473518
2015-05-29,60,residual_strength_percentile,delta_residual_strength_percentile_1m,1819,0.38713565612705314,0.38713565612705314
2015-05-29,60,residual_strength_percentile,delta_same_industry_degree_percentile_1m,1819,0.087138710492907,0.087138710492907
2015-05-29,60,residual_strength_percentile,delta_cross_industry_degree_percentile_1m,1819,0.3984783423558277,0.3984783423558277
2015-05-29,60,residual_strength_percentile,delta_cross_industry_degree_ratio_1m,1798,-0.0279796982670558,0.0279796982670558
2015-05-29,60,residual_strength_percentile,neighbor_jaccard_1m,1816,0.550480776327311,0.550480776327311
2015-05-29,60,residual_strength_percentile,neighbor_retention_1m,1812,0.6642053612807249,0.6642053612807249
2015-05-29,60,residual_strength_percentile,neighbor_turnover_1m,1816,-0.550480776327311,0.550480776327311
2015-05-29,60,residual_strength_percentile,new_neighbor_count_1m,1819,0.8963789853108936,0.8963789853108936
2015-05-29,60,residual_strength_percentile,lost_neighbor_count_1m,1819,0.4005307859685051,0.4005307859685051
2015-05-29,60,residual_strength_percentile,within_community_degree_percentile,1914,0.942393772673009,0.942393772673009
2015-05-29,60,residual_strength_percentile,within_community_strength_percentile,1914,0.9451243257739407,0.9451243257739407
2015-05-29,60,residual_strength_percentile,outside_community_degree_percentile,1914,0.6635519338373721,0.6635519338373721
2015-05-29,60,residual_strength_percentile,outside_community_strength_percentile,1914,0.6696626012206892,0.6696626012206892
2015-05-29,60,residual_strength_percentile,outside_community_degree_ratio,1898,-0.10181582747259062,0.10181582747259062
2015-05-29,60,residual_strength_percentile,participation_coefficient_percentile,1898,-0.024202996867521764,0.024202996867521764
2015-05-29,60,residual_strength_percentile,weighted_participation_coefficient_percentile,1898,-0.042052013279719254,0.042052013279719254
2015-05-29,60,residual_strength_percentile,external_community_count,1914,0.4845277670816437,0.4845277670816437
2015-05-29,60,residual_strength_percentile,community_diversity_count,1914,0.4862098521882379,0.4862098521882379
2015-05-29,60,delta_degree_percentile,delta_strength_percentile,1914,0.9985337266469038,0.9985337266469038
2015-05-29,60,delta_degree_percentile,same_industry_degree_percentile,1914,0.37993644544580457,0.37993644544580457
2015-05-29,60,delta_degree_percentile,same_industry_strength_percentile,1914,0.3798510668886791,0.3798510668886791
2015-05-29,60,delta_degree_percentile,cross_industry_degree_percentile,1914,0.5411290505637387,0.5411290505637387
2015-05-29,60,delta_degree_percentile,cross_industry_strength_percentile,1914,0.5386767629131601,0.5386767629131601
2015-05-29,60,delta_degree_percentile,cross_industry_degree_ratio,1898,-0.22872458979350158,0.22872458979350158
2015-05-29,60,delta_degree_percentile,cross_industry_strength_ratio,1898,-0.22540562671345013,0.22540562671345013
2015-05-29,60,delta_degree_percentile,delta_residual_degree_percentile_1m,1819,0.21825901891572416,0.21825901891572416
2015-05-29,60,delta_degree_percentile,delta_residual_strength_percentile_1m,1819,0.2139412206555502,0.2139412206555502
2015-05-29,60,delta_degree_percentile,delta_same_industry_degree_percentile_1m,1819,0.04331233760059847,0.04331233760059847
2015-05-29,60,delta_degree_percentile,delta_cross_industry_degree_percentile_1m,1819,0.22628706453153066,0.22628706453153066
2015-05-29,60,delta_degree_percentile,delta_cross_industry_degree_ratio_1m,1798,-0.02875383783194879,0.02875383783194879
2015-05-29,60,delta_degree_percentile,neighbor_jaccard_1m,1816,0.3244720113902018,0.3244720113902018
2015-05-29,60,delta_degree_percentile,neighbor_retention_1m,1812,0.39111676941966494,0.39111676941966494
2015-05-29,60,delta_degree_percentile,neighbor_turnover_1m,1816,-0.3244720113902018,0.3244720113902018
2015-05-29,60,delta_degree_percentile,new_neighbor_count_1m,1819,0.4847298789021129,0.4847298789021129
2015-05-29,60,delta_degree_percentile,lost_neighbor_count_1m,1819,0.21214626946633025,0.21214626946633025
2015-05-29,60,delta_degree_percentile,within_community_degree_percentile,1914,0.5483646838431991,0.5483646838431991
2015-05-29,60,delta_degree_percentile,within_community_strength_percentile,1914,0.5446248817678601,0.5446248817678601
2015-05-29,60,delta_degree_percentile,outside_community_degree_percentile,1914,0.31180565157791307,0.31180565157791307
