factor_a,factor_b,window,valid_month_count,mean_rho,median_rho,mean_abs_rho,median_abs_rho,p90_abs_rho,share_abs_rho_ge_090,median_pair_obs
lost_neighbor_count_1m,community_diversity_count,60,137,0.22715225808944375,0.21510748349384864,0.22748832212027925,0.21510748349384864,0.3757843313805582,0.0,3989.0
lost_neighbor_count_1m,community_diversity_count,120,134,0.34061992126294255,0.31743694537079875,0.34061992126294255,0.31743694537079875,0.5306245511136731,0.0,3943.5
lost_neighbor_count_1m,community_diversity_count,252,128,0.4492253280600893,0.4525145960501409,0.4492253280600893,0.4525145960501409,0.56175831233225,0.0,3816.5
lost_neighbor_count_1m,external_community_count,60,137,0.2215519841291237,0.20995928926511642,0.2218880481599592,0.20995928926511642,0.369392503596177,0.0,3989.0
lost_neighbor_count_1m,external_community_count,120,134,0.33116048485036,0.3100339179406918,0.33116048485036,0.3100339179406918,0.48781192018860386,0.0,3943.5
lost_neighbor_count_1m,external_community_count,252,128,0.4288604905483412,0.4330905883961994,0.4288604905483412,0.4330905883961994,0.5284984266962606,0.0,3816.5
lost_neighbor_count_1m,outside_community_degree_percentile,60,137,0.33858961836669194,0.3414544803812866,0.33858961836669194,0.3414544803812866,0.46110983654787724,0.0,3989.0
lost_neighbor_count_1m,outside_community_degree_percentile,120,134,0.43691908846815025,0.4396982964272128,0.43691908846815025,0.4396982964272128,0.5639600616817835,0.0,3943.5
lost_neighbor_count_1m,outside_community_degree_percentile,252,128,0.4964295112716598,0.5090270458573873,0.4964295112716598,0.5090270458573873,0.5871291240876915,0.0,3816.5
lost_neighbor_count_1m,outside_community_degree_ratio,60,137,-0.06855814976137997,-0.0958232489725997,0.12347379018704595,0.11992504155425557,0.21302009586014897,0.0,3853.0
lost_neighbor_count_1m,outside_community_degree_ratio,120,134,-0.020833184462095002,-0.05894209729269259,0.13006684172140096,0.11557090675760959,0.23081898410993956,0.0,3915.5
lost_neighbor_count_1m,outside_community_degree_ratio,252,128,0.10194775858170813,0.07806105292075541,0.12361006019302044,0.09818212229428869,0.26879893180319003,0.0,3611.5
lost_neighbor_count_1m,outside_community_strength_percentile,60,137,0.33882743772207474,0.34201368859984355,0.33882743772207474,0.34201368859984355,0.46138341312352066,0.0,3989.0
