regime_type,sample_scope,factor_name,window,low_n,high_n,mean_high_minus_low_yi,median_high_minus_low_yi,zero_share_high_minus_low,hac_se_yi,hac_t,p_nominal,small_sample,q_bh
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,252,28,47,8.707133643048815,6.346423313139772,0.0,2.2597121194985577,3.8532048254805904,0.00011658178601337837,False,0.000774723480451955
NETWORK,COMMON_DATE,neighbor_jaccard_1m,252,28,47,7.676556200961843,5.669049813561999,0.0,2.0446068589258473,3.754539004625462,0.00017366080188658463,False,0.000774723480451955
NETWORK,COMMON_DATE,neighbor_retention_1m,252,28,47,7.566208305853872,5.514290682152279,0.0,2.0601613141050663,3.67262905775931,0.00024006784013827625,False,0.000774723480451955
RECONFIG,NATIVE,cross_industry_degree_percentile,60,33,40,1.65349317133869,2.367964021372444,0.0,1.7229992571162882,0.9596598283542341,0.33722644742742064,False,0.9938652165385661
RECONFIG,NATIVE,cross_industry_degree_ratio,60,33,40,2.016100751608514,1.959957728891606,0.0,1.7552352822568151,1.148621368308121,0.2507121419841628,False,0.9938652165385661
RECONFIG,NATIVE,delta_cross_industry_degree_percentile_1m,60,33,40,1.9295273343732582,2.842612803667068,0.0,1.694991837406638,1.1383696911045087,0.25496614447726884,False,0.9938652165385661
RECONFIG,NATIVE,delta_degree_percentile,60,33,40,1.861317580492729,2.492469120457786,0.0,1.778744610625682,1.0464220492215583,0.29536621710769145,False,0.9938652165385661
RECONFIG,NATIVE,delta_residual_degree_percentile_1m,60,33,40,1.8243029416192336,3.0194352319696733,0.0,1.7036630784460558,1.070812043002784,0.28425395081090093,False,0.9938652165385661
RECONFIG,NATIVE,neighbor_jaccard_1m,60,33,40,2.1318592446745264,2.549538011375594,0.0,1.5958438615325514,1.3358820972793781,0.1815878134056681,False,0.9938652165385661
RECONFIG,NATIVE,neighbor_retention_1m,60,33,40,2.037682328679379,2.048376301733448,0.0,1.5462941784285535,1.317784388705522,0.18757583534332417,False,0.9938652165385661
RECONFIG,NATIVE,outside_community_degree_percentile,60,33,40,1.9176151517579711,3.0534091983581497,0.0,1.6479619121447926,1.1636283203064017,0.2445746693242039,False,0.9938652165385661
RECONFIG,NATIVE,residual_degree_percentile,60,33,40,1.5626381709479862,2.5912275965347806,0.0,1.6925021152344208,0.9232710298453909,0.35586598112776796,False,0.9938652165385661
RECONFIG,NATIVE,cross_industry_degree_percentile,120,31,33,-0.20580134100608305,1.915694315073015,0.0,1.694346455591993,-0.12146355329328291,0.9033238811778596,False,0.9938652165385661
RECONFIG,NATIVE,cross_industry_degree_ratio,120,31,33,-0.12682328330813775,1.7516756692857314,0.0,1.7149893459738634,-0.07394989572726508,0.9410502534532529,False,0.9938652165385661
RECONFIG,NATIVE,delta_degree_percentile,120,31,33,-0.4762741601324656,1.4701065958766737,0.0,1.894162567809529,-0.25144312754699005,0.8014715274958213,False,0.9938652165385661
RECONFIG,NATIVE,outside_community_degree_percentile,120,31,33,0.15523190544252863,3.188183281637702,0.0,1.7380002506465517,0.08931638840948439,0.9288304700553225,False,0.9938652165385661
RECONFIG,NATIVE,residual_degree_percentile,120,31,33,-0.32306137988104133,1.9078523204795346,0.0,1.7049816115514267,-0.18948085873317758,0.8497159558722454,False,0.9938652165385661
RECONFIG,NATIVE,delta_cross_industry_degree_percentile_1m,120,31,33,-0.07439609990812812,1.8497094011239703,0.0,1.6623819503082833,-0.04475271155003314,0.9643044180138369,False,0.9938652165385661
RECONFIG,NATIVE,delta_residual_degree_percentile_1m,120,31,33,0.012796406180463293,2.2330334092853263,0.0,1.66427297538644,0.007688886600764517,0.9938652165385661,False,0.9938652165385661
RECONFIG,NATIVE,neighbor_jaccard_1m,120,31,33,-0.042562712617113974,2.007928742030211,0.0,1.5565519703882829,-0.027344228414356558,0.9781851808698565,False,0.9938652165385661
RECONFIG,NATIVE,neighbor_retention_1m,120,31,33,-0.22381932909206625,1.7618662735076978,0.0,1.5499910220469162,-0.144400403556203,0.885184298157688,False,0.9938652165385661
RECONFIG,NATIVE,cross_industry_degree_percentile,252,29,38,-1.3577563294729487,-0.3624885524313495,0.0,1.968668458730512,-0.6896825737475839,0.49039382693247247,False,0.9938652165385661
RECONFIG,NATIVE,cross_industry_degree_ratio,252,29,38,-0.9610960226009944,0.4276059200172142,0.0,1.652521207032475,-0.5815937601956034,0.5608403468998335,False,0.9938652165385661
RECONFIG,NATIVE,delta_degree_percentile,252,29,38,-1.3319183980147002,-0.19418656762219122,0.0,1.955109785778673,-0.681249926578537,0.4957133615784193,False,0.9938652165385661
RECONFIG,NATIVE,outside_community_degree_percentile,252,29,38,-1.1921826331094252,-0.9226246805803342,0.0,1.8416790212020469,-0.6473346437596377,0.5174153846040097,False,0.9938652165385661
RECONFIG,NATIVE,residual_degree_percentile,252,29,38,-0.8624959099471639,-0.9062542380876906,0.0,1.9525321361148762,-0.4417319920087704,0.6586831563673209,False,0.9938652165385661
RECONFIG,NATIVE,delta_cross_industry_degree_percentile_1m,252,29,38,-0.7857530648132016,0.33425429771459036,0.0,1.7860684005711311,-0.43993447538847974,0.6599845655002556,False,0.9938652165385661
RECONFIG,NATIVE,delta_residual_degree_percentile_1m,252,29,38,-0.5898662193303803,0.3496506997077571,0.0,1.7166434873748313,-0.34361602957666554,0.7311350681250356,False,0.9938652165385661
RECONFIG,NATIVE,neighbor_jaccard_1m,252,29,38,-0.2253890418552107,0.31265817469803103,0.0,1.511890321328188,-0.1490776405375805,0.8814923689861425,False,0.9938652165385661
RECONFIG,NATIVE,neighbor_retention_1m,252,29,38,-0.5136324763199802,-0.026421378581833466,0.0,1.4784188891431689,-0.3474201257112324,0.728275715736211,False,0.9938652165385661
RECONFIG,COMMON_DATE,cross_industry_degree_percentile,60,29,37,1.3602108172810752,1.0527476714312431,0.0,1.8687004772161415,0.7278912987208209,0.46668013005243575,False,0.9963603540020345
RECONFIG,COMMON_DATE,cross_industry_degree_ratio,60,29,37,1.755628284452051,0.7757559918027823,0.0,1.8994166988177952,0.9242986468133935,0.35533084711616636,False,0.9963603540020345
RECONFIG,COMMON_DATE,delta_cross_industry_degree_percentile_1m,60,29,37,1.6433426139947258,0.5879248633993761,0.0,1.8360497749621059,0.8950425181303392,0.3707643597482152,False,0.9963603540020345
RECONFIG,COMMON_DATE,delta_degree_percentile,60,29,37,1.5678454503990427,0.20853087589419594,0.0,1.9327031379653414,0.811218970777683,0.41723993309585333,False,0.9963603540020345
RECONFIG,COMMON_DATE,delta_residual_degree_percentile_1m,60,29,37,1.5449734508999224,0.48016935920333914,0.0,1.8462327260242173,0.8368248645591698,0.4026910188513509,False,0.9963603540020345
RECONFIG,COMMON_DATE,neighbor_jaccard_1m,60,29,37,1.901711731317647,0.9205215702400071,0.0,1.7279060130941262,1.1005874838714698,0.27107623531672986,False,0.9963603540020345
RECONFIG,COMMON_DATE,neighbor_retention_1m,60,29,37,1.8201244699302972,1.1517806877310335,0.0,1.6690415346602696,1.090520776225488,0.27548380644602954,False,0.9963603540020345
RECONFIG,COMMON_DATE,outside_community_degree_percentile,60,29,37,1.6655689756386245,1.1266550473983923,0.0,1.7818998623326712,0.9347152501927023,0.34993506552935466,False,0.9963603540020345
RECONFIG,COMMON_DATE,residual_degree_percentile,60,29,37,1.2818417521932552,0.7035903729401838,0.0,1.8392797333103363,0.6969259373538553,0.48584914473479535,False,0.9963603540020345
RECONFIG,COMMON_DATE,cross_industry_degree_percentile,120,29,31,-0.23016439102922348,0.4292895066001883,0.0,1.7732890239575807,-0.12979519295481146,0.8967284662092025,False,0.9963603540020345
RECONFIG,COMMON_DATE,cross_industry_degree_ratio,120,29,31,-0.1628611330721963,1.8067781918757397,0.0,1.8038113017211959,-0.09028723398993801,0.9280589645173718,False,0.9963603540020345
