config_id,description,return_column,stock_valid_ratio,pair_valid_ratio,analysis_date,window,eligible_stock_count,exact_same_pair_share,market_r2_median,raw_mean_corr,raw_same_cross_gap,raw_top1_same_enrichment,residual_mean_corr,residual_same_cross_gap,residual_top1_same_enrichment,raw_residual_top1_overlap,residual_gap_positive,residual_enrichment_gt_1
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2023-12-29,120,5014,0.05370909985851704,0.2203293324657306,0.2125322098328619,0.13940859944895864,7.354433439408351,0.001287078360558082,0.15645961196233532,8.471562569445062,0.475,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2024-12-31,120,5073,0.054502450344839165,0.4752781771934863,0.44806978471469633,0.07405334332721869,4.862166715869369,0.0033884962373181278,0.11303441760857906,6.696946608650263,0.24,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2025-12-31,120,5133,0.05524201979489006,0.17162576550677078,0.1664589523024232,0.08949461442927106,5.159116213675495,0.00047357521916864954,0.09268813597052115,6.245245942870337,0.52,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2026-09-03,120,5170,0.05580141694291927,0.249920016423892,0.2451988803759003,0.11109241849887766,3.852948756120819,0.013062388852439008,0.12194683014699971,6.003431782792904,0.495,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2016-12-30,252,2107,0.04879993473570439,0.5557884735648837,0.5341951374621727,0.030811190247945097,3.467848269619751,0.0029864837640617915,0.04745247559471946,5.779747116032918,0.20618556701030927,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2017-12-29,252,2497,0.04887082447655135,0.26951672470050125,0.2555422224272214,0.04369465207666384,2.9969751489443666,0.004215641818329526,0.04401445792277816,5.270542503315955,0.2436548223350254,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2018-12-28,252,3015,0.05065273059607955,0.40187171523707876,0.3885388488744947,0.041917372119302854,3.1587635674745598,0.0015255161264770215,0.060835057799359125,5.429124881596899,0.22110552763819097,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2019-12-31,252,3553,0.050620526239721284,0.3490885343513033,0.3383627040358879,0.034902422089430674,2.7656765031838764,0.0006094680899651612,0.05738042078844653,5.926449649679734,0.265,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2020-12-31,252,3737,0.05149615025163608,0.299152711040998,0.28667137887396815,0.04902634432966707,4.175069377990431,0.000924063261061811,0.07687849980089931,7.476287025703795,0.42,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,2021-12-31,252,4138,0.04865602977199594,0.13424788515784497,0.13325078913294497,0.08464206444570563,8.118212724116322,0.00259152439849213,0.08734716753064975,9.659645519834609,0.495,True,True
