security_id,stock_code,stock_name,exchange,list_date,delist_date,security_type,list_status,board,is_standard_a_share_code,_source_file,missing_list_date_class,severity,note
920089.XBEI,920089,禾昌聚合,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920089.XBEI,920089,禾昌聚合,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920090.XBEI,920090,*ST同辉,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920090.XBEI,920090,*ST同辉,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920092.XBEI,920092,汉鑫科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920092.XBEI,920092,汉鑫科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920110.XBEI,920110,雷特科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920110.XBEI,920110,雷特科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920122.XBEI,920122,中纺标,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920122.XBEI,920122,中纺标,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920123.XBEI,920123,芭薇股份,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920123.XBEI,920123,芭薇股份,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920130.XBEI,920130,立方控股,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920130.XBEI,920130,立方控股,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920132.XBEI,920132,泰鹏智能,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920132.XBEI,920132,泰鹏智能,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920139.XBEI,920139,华岭股份,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920139.XBEI,920139,华岭股份,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920145.XBEI,920145,恒合股份,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920145.XBEI,920145,恒合股份,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920146.XBEI,920146,华阳变速,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920146.XBEI,920146,华阳变速,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920149.XBEI,920149,旭杰科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920149.XBEI,920149,旭杰科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
920152.XBEI,920152,昆工科技,BSE,,,,L,BSE,True,D:\lowfreq\uqer_daily_info\bj_stock\code_change.csv,REVIEW_STANDARD_CODE_WITHOUT_LISTDATE,REVIEW,缺少 listDate；当前不进入正式股票池。非标准代码通常属于申报/未上市记录；标准 A 股代码需在 Stage 2 与 daily_temp3 交叉检查是否曾实际交易。
