window_id,network_date,regime,stock,name,industry,node_novelty_score,node_novelty_share,same_node_novelty_score,cross_node_novelty_score,cross_node_novelty_share,node_novelty_rank
9,2024-09-12,R2,000001,平安银行,银行,0.022206336463878186,0.1077613893705898,0.0023107791404618984,0.019895557323416285,0.8959405508323843,4
9,2024-09-12,R2,000568,泸州老窖,食品饮料,0.0028437188597341258,0.013799804204659004,0.0005993418125514357,0.0022443770471826893,0.7892401316326073,14
9,2024-09-12,R2,000725,京东方A,电子,0.009254937785474907,0.044911728502512724,0.005980942587152737,0.003273995198322169,0.353756586398724,9
9,2024-09-12,R2,000858,五粮液,食品饮料,0.005142342072996128,0.024954405572765233,0.002265462140338674,0.0028768799326574536,0.5594493504749037,11
9,2024-09-12,R2,002415,海康威视,电子,0.024832832315249576,0.12050706863111384,0.008590555760330822,0.016242276554918753,0.6540646007964442,2
9,2024-09-12,R2,002460,赣锋锂业,新能源,0.019653589987007527,0.095373596025842,0.0,0.019653589987007527,1.0,5
9,2024-09-12,R2,002475,立讯精密,电子,0.004745628268035947,0.023029259978644294,0.004022437153230141,0.0007231911148058068,0.15239101631217963,12
9,2024-09-12,R2,600030,中信证券,非银金融,0.04489650542669233,0.21787068796937642,0.0005580907651871354,0.0443384146615052,0.9875693941013206,1
9,2024-09-12,R2,600036,招商银行,银行,0.01167685273301482,0.05666463155830657,0.0027166632826001683,0.008960189450414652,0.7673462751723205,7
9,2024-09-12,R2,600519,贵州茅台,食品饮料,0.0016226708376365026,0.007874385954625399,0.0011715916572413848,0.00045107918039511774,0.2779856332736811,15
9,2024-09-12,R2,600887,伊利股份,食品饮料,0.02323527147146925,0.1127545347356712,0.0023259208495887635,0.020909350621880488,0.8998969797945001,3
9,2024-09-12,R2,601288,农业银行,银行,0.0074247094297633,0.03603012163333137,0.0010136525132721798,0.006411056916491121,0.8634758002503413,10
9,2024-09-12,R2,601318,中国平安,非银金融,0.01393752360742807,0.06763506041462286,0.0005580907651871354,0.013379432842240937,0.959957681084056,6
9,2024-09-12,R2,601398,工商银行,银行,0.00432943963105654,0.02100960825292599,0.0040469173518752335,0.00028252227918130693,0.0652560846800308,13
9,2024-09-12,R2,603501,韦尔股份,电子,0.010267148877495238,0.049823717195013294,0.005378801246012019,0.004888347631483221,0.47611539384590834,8
10,2024-10-21,R2,000001,平安银行,银行,0.02092768524720964,0.06351896971139835,0.0012372416763546923,0.019690443570854945,0.940880146956546,8
10,2024-10-21,R2,000568,泸州老窖,食品饮料,0.02118292148807351,0.06429365371783165,0.006993021207531155,0.014189900280542357,0.6698745632669983,7
10,2024-10-21,R2,000725,京东方A,电子,0.015134001609451133,0.045934186150432155,0.007959794590412109,0.007174207019039021,0.4740456096263894,12
10,2024-10-21,R2,000858,五粮液,食品饮料,0.021621994649439168,0.06562631304008477,0.016311099155681782,0.005310895493757385,0.2456246789375253,6
10,2024-10-21,R2,002415,海康威视,电子,0.023372769956122665,0.07094020429767242,0.011735368861027592,0.011637401095095071,0.4979042328719181,5
10,2024-10-21,R2,002460,赣锋锂业,新能源,0.01765388648384707,0.0535824515520875,0.0,0.01765388648384707,1.0,10
10,2024-10-21,R2,002475,立讯精密,电子,0.0028079381629891225,0.008522554550086546,0.0011080680124411965,0.0016998701505479257,0.6053801942484268,14
10,2024-10-21,R2,600030,中信证券,非银金融,0.06514356696462105,0.197721449268735,0.013670139080793814,0.051473427883827236,0.7901536603266144,1
10,2024-10-21,R2,600036,招商银行,银行,0.016676014463444314,0.05061444899892083,0.005588039069291442,0.011087975394152867,0.664905599503943,11
10,2024-10-21,R2,600519,贵州茅台,食品饮料,0.019210473120599755,0.05830694823029725,0.018107506586597467,0.001102966534002289,0.0574148552759774,9
10,2024-10-21,R2,600887,伊利股份,食品饮料,0.03621547249156299,0.10991992057899885,0.02354547545866345,0.012669997032899543,0.34985038607051816,2
10,2024-10-21,R2,601288,农业银行,银行,0.0015423856147341413,0.004681394238699056,0.0006486168626881245,0.0008937687520460169,0.5794716596861379,15
10,2024-10-21,R2,601318,中国平安,非银金融,0.029101996107595132,0.08832934877716772,0.013670139080793814,0.015431857026801318,0.5302679915751162,4
10,2024-10-21,R2,601398,工商银行,银行,0.006278583666906811,0.019056534970675207,0.006191528047910091,8.705561899672055e-05,0.01386548680645505,13
10,2024-10-21,R2,603501,韦尔股份,电子,0.032601731539207146,0.09895162191691265,0.008777456178156775,0.023824275361050376,0.7307671781911056,3
11,2024-11-18,R2,000001,平安银行,银行,0.01733981556017782,0.05081540001511123,0.0007095235146301859,0.016630292045547633,0.9590812536518751,9
11,2024-11-18,R2,000568,泸州老窖,食品饮料,0.015818575519691725,0.046357312158984566,0.005269115108963497,0.01054946041072823,0.6669033123491905,10
11,2024-11-18,R2,000725,京东方A,电子,0.01915226385521888,0.05612689163966651,0.01203955489429833,0.007112708960920552,0.37137693040827546,8
11,2024-11-18,R2,000858,五粮液,食品饮料,0.013783759320832279,0.04039415766386198,0.009015762661967686,0.004767996658864591,0.34591409700968967,12
11,2024-11-18,R2,002415,海康威视,电子,0.028633347699283634,0.08391179318264567,0.011906672651456653,0.016726675047826982,0.5841676364040891,4
11,2024-11-18,R2,002460,赣锋锂业,新能源,0.022518233868117722,0.06599107456887465,0.0,0.022518233868117722,1.0,7
11,2024-11-18,R2,002475,立讯精密,电子,0.0030239527897960813,0.008861880341634015,0.001004782896804565,0.002019169892991516,0.6677253361246019,14
11,2024-11-18,R2,600030,中信证券,非银金融,0.05954618363522032,0.174503767372596,0.012281780320567327,0.047264403314652995,0.7937436193089138,1
11,2024-11-18,R2,600036,招商银行,银行,0.014607810105375606,0.042809089362760976,0.004768849753964848,0.009838960351410759,0.673541090720372,11
11,2024-11-18,R2,600519,贵州茅台,食品饮料,0.024657745202964456,0.07226104462361879,0.02387766480431175,0.0007800803986527081,0.031636323282265226,6
11,2024-11-18,R2,600887,伊利股份,食品饮料,0.03806056954323638,0.11153884880899403,0.02424888103361634,0.013811688509620041,0.3628870685692214,3
11,2024-11-18,R2,601288,农业银行,银行,0.0025399347396558953,0.0074434355636576405,0.0005469469980457981,0.0019929877416100974,0.7846610034870829,15
11,2024-11-18,R2,601318,中国平安,非银金融,0.028203439763759438,0.082651921436172,0.012281780320567327,0.015921659443192106,0.56452899279509,5
11,2024-11-18,R2,601398,工商银行,银行,0.004818101986094067,0.014119745327583005,0.004747586934706723,7.051505138734364e-05,0.014635441838064681,13
11,2024-11-18,R2,603501,韦尔股份,电子,0.04852777408386748,0.14221363793383887,0.014858181010013734,0.03366959307385375,0.6938210892522028,2
12,2024-12-16,R2,000001,平安银行,银行,0.013486525981192267,0.04496788511870057,0.0004450795386604264,0.013041446442531841,0.966998207004449,10
12,2024-12-16,R2,000568,泸州老窖,食品饮料,0.01599236857775278,0.05332307178165748,0.005064792379650647,0.010927576198102133,0.6832994215318202,9
12,2024-12-16,R2,000725,京东方A,电子,0.017174131629086736,0.057263403428518884,0.010747073616916082,0.006427058012170656,0.37422899457027314,8
12,2024-12-16,R2,000858,五粮液,食品饮料,0.012595348586956883,0.04199644809034756,0.006907133247226695,0.005688215339730189,0.45161237900319984,12
12,2024-12-16,R2,002415,海康威视,电子,0.02297793386656862,0.07661491860972276,0.012504445172369334,0.010473488694199288,0.45580637297583676,5
12,2024-12-16,R2,002460,赣锋锂业,新能源,0.018170982207323848,0.06058718468584115,0.0,0.018170982207323848,1.0,7
12,2024-12-16,R2,002475,立讯精密,电子,0.00237144059685901,0.007907052451765,0.0008568883144176888,0.0015145522824413214,0.6386633864864069,14
12,2024-12-16,R2,600030,中信证券,非银金融,0.05410178844444215,0.1803906366160311,0.01013601552302858,0.043965772921413564,0.8126491597696924,1
12,2024-12-16,R2,600036,招商银行,银行,0.012945991593239883,0.04316559086634478,0.004688632216037323,0.00825735937720256,0.6378313563492791,11
12,2024-12-16,R2,600519,贵州茅台,食品饮料,0.020963397394116155,0.06989788526940911,0.020202203399563932,0.0007611939945522249,0.03631062180626653,6
12,2024-12-16,R2,600887,伊利股份,食品饮料,0.028649786882716636,0.09552647783527743,0.019945878692615028,0.008703908190101606,0.3038035928760208,3
12,2024-12-16,R2,601288,农业银行,银行,0.002261109717543132,0.007539178151664255,0.0004473732458314915,0.0018137364717116403,0.8021443885007062,15
12,2024-12-16,R2,601318,中国平安,非银金融,0.023536310485715244,0.07847670389807425,0.01013601552302858,0.013400294962686665,0.5693456062631239,4
12,2024-12-16,R2,601398,工商银行,银行,0.004522548019373067,0.015079451896106173,0.0044642711174000555,5.8276901973011263e-05,0.012885855876681179,13
12,2024-12-16,R2,603501,韦尔股份,电子,0.05016495164985307,0.16726411130053956,0.015081228140662317,0.03508372350919076,0.6993672345998069,2
13,2025-01-14,R3,000001,平安银行,银行,0.012865783843840543,0.04706403040711151,0.00047198570317299494,0.012393798140667548,0.9633146562306846,11
13,2025-01-14,R3,000568,泸州老窖,食品饮料,0.014717759181056283,0.053838699144117416,0.004461332709425844,0.01025642647163044,0.6968741875347321,9
