analysis_date,window,next_analysis_date,is_last_date,expected_rows,actual_rows,expected_trade_days,market_trade_day_count,market_date_coverage,min_market_stock_count,suspension_zero_stock_days,reopen_stock_days,reopen_return_recovered_stock_days,unresolved_open_missing_stock_days,unresolved_reopen_missing_stock_days,mean_return_coverage,return_label_valid_share,risk_label_valid_share,mean_suspended_days_per_stock,mean_unresolved_open_missing_days,row_count_ok,key_unique,security_unique,coverage_range_ok,last_date_policy_ok,forward_direction_ok,market_calendar_ok,market_count_ok,reopen_recovery_ok,return_label_complete,risk_label_complete,vol_nonnegative,drawdown_range_ok,total_return_range_ok,qa_pass,qa_errors
2017-09-29,120,2017-10-31,False,2754,2754,17,17,1.0,3382.0,872,48,48,0,0,1.0,1.0,1.0,0.3166303558460421,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-10-31,120,2017-11-30,False,2795,2795,22,22,1.0,3409.0,1217,47,47,0,0,1.0,1.0,1.0,0.43542039355992845,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-11-30,120,2017-12-29,False,2837,2837,21,21,1.0,3445.0,1445,69,69,0,0,1.0,1.0,1.0,0.5093408530137469,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-12-29,120,2018-01-31,False,2851,2851,22,22,1.0,3468.0,1284,56,56,0,0,1.0,1.0,1.0,0.450368291827429,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-01-31,120,2018-02-28,False,2901,2901,15,15,1.0,3483.0,1801,94,94,0,0,1.0,1.0,1.0,0.6208204067562909,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-02-28,120,2018-03-30,False,2854,2854,22,22,1.0,3494.0,1052,52,52,0,0,1.0,1.0,1.0,0.3686054660126139,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-03-30,120,2018-04-27,False,2901,2901,18,18,1.0,3504.0,856,64,64,0,0,1.0,1.0,1.0,0.29507066528783177,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-04-27,120,2018-05-31,False,2942,2942,22,22,1.0,3513.0,1228,68,68,0,0,1.0,1.0,1.0,0.4174031271244052,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-05-31,120,2018-06-29,False,2966,2966,20,20,1.0,3521.0,1245,48,48,0,0,1.0,1.0,1.0,0.4197572488199595,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-06-29,120,2018-07-31,False,2972,2972,22,22,1.0,3530.0,422,20,20,0,0,1.0,1.0,1.0,0.14199192462987886,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
