analysis_date,window,eligible_stock_count,possible_unordered_pairs,density_fraction,density_percent,approximate_edge_count,approximate_mean_degree,is_primary_density,important_note
2018-12-28,60,3426,5867025,0.02,2.0,117340,68.49970811441915,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-01-31,60,3492,6095286,0.002,0.2,12190,6.981672394043528,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-01-31,60,3492,6095286,0.005,0.5,30476,17.45475372279496,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-01-31,60,3492,6095286,0.01,1.0,60952,34.90950744558992,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-01-31,60,3492,6095286,0.02,2.0,121905,69.81958762886597,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-02-28,60,3522,6200481,0.002,0.2,12400,7.04145371947757,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-02-28,60,3522,6200481,0.005,0.5,31002,17.604770017035776,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-02-28,60,3522,6200481,0.01,1.0,62004,35.20954003407155,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-02-28,60,3522,6200481,0.02,2.0,124009,70.41964792731403,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-03-29,60,3517,6182886,0.002,0.2,12365,7.0315609894796705,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-03-29,60,3517,6182886,0.005,0.5,30914,17.579755473414842,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-03-29,60,3517,6182886,0.01,1.0,61828,35.159510946829684,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-03-29,60,3517,6182886,0.02,2.0,123657,70.31959056013648,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-04-30,60,3515,6175855,0.002,0.2,12351,7.027596017069701,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-04-30,60,3515,6175855,0.005,0.5,30879,17.569843527738264,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-04-30,60,3515,6175855,0.01,1.0,61758,35.13968705547653,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-04-30,60,3515,6175855,0.02,2.0,123517,70.27994310099574,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-05-31,60,3512,6165316,0.002,0.2,12330,7.021640091116173,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-05-31,60,3512,6165316,0.005,0.5,30826,17.554669703872438,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-05-31,60,3512,6165316,0.01,1.0,61653,35.10990888382688,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-05-31,60,3512,6165316,0.02,2.0,123306,70.21981776765377,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-06-28,60,3528,6221628,0.002,0.2,12443,7.053854875283447,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-06-28,60,3528,6221628,0.005,0.5,31108,17.634920634920636,False,Approximation only. Step 2 will use the exact common valid pair universe.
2019-06-28,60,3528,6221628,0.01,1.0,62216,35.26984126984127,True,Approximation only. Step 2 will use the exact common valid pair universe.
2019-06-28,60,3528,6221628,0.02,2.0,124432,70.53968253968254,False,Approximation only. Step 2 will use the exact common valid pair universe.
