analysis_date,window,density_fraction,degree_spearman_raw_residual,strength_spearman_raw_residual,median_abs_degree_percentile_change,p90_abs_degree_percentile_change,median_abs_strength_percentile_change,p90_abs_strength_percentile_change,top1pct_degree_hub_overlap,top1pct_degree_hub_jaccard,top1pct_strength_hub_overlap,top1pct_strength_hub_jaccard,top5pct_degree_hub_overlap,top5pct_degree_hub_jaccard,top5pct_strength_hub_overlap,top5pct_strength_hub_jaccard
2017-02-28,120,0.01,0.4005503942734872,0.41141492743073865,0.19449013471603394,0.5362457633018494,0.19490131735801697,0.5274258852005005,0.0,0.0,0.0,0.0,0.01639344262295082,0.008264462809917356,0.00819672131147541,0.00411522633744856
2017-03-31,120,0.01,0.37116667972072287,0.3820031561387398,0.19598393142223358,0.528614342212677,0.19728916883468628,0.5263453125953674,0.0,0.0,0.0,0.0,0.008,0.004016064257028112,0.008,0.004016064257028112
2017-04-28,120,0.01,0.4273060596691355,0.43561485705456565,0.1859865039587021,0.525248110294342,0.1859865039587021,0.5139737129211426,0.038461538461538464,0.0196078431372549,0.0,0.0,0.031746031746031744,0.016129032258064516,0.023809523809523808,0.012048192771084338
2017-05-31,120,0.01,0.4055701710365998,0.4115047881268681,0.1956091672182083,0.5240309238433838,0.1975870430469513,0.5218750238418579,0.0,0.0,0.0,0.0,0.09448818897637795,0.049586776859504134,0.08661417322834646,0.04526748971193416
2017-06-30,120,0.01,0.41484398372038866,0.423510616243575,0.19468003511428833,0.5292984247207642,0.19159600138664246,0.5267540812492371,0.0,0.0,0.0,0.0,0.1,0.05263157894736842,0.1076923076923077,0.056910569105691054
2017-07-31,120,0.01,0.44723523135157794,0.4544837954188811,0.17866617441177368,0.5083743929862976,0.18075031042099,0.5053808093070984,0.0,0.0,0.0,0.0,0.09090909090909091,0.047619047619047616,0.09090909090909091,0.047619047619047616
2017-08-31,120,0.01,0.48976359455917756,0.49557719861552085,0.17679506540298462,0.49513834714889526,0.17427074909210205,0.49059462547302246,0.07407407407407407,0.038461538461538464,0.07407407407407407,0.038461538461538464,0.23880597014925373,0.13559322033898305,0.23134328358208955,0.1308016877637131
2017-09-29,120,0.01,0.5063823617717026,0.511586346750074,0.166212797164917,0.4819352924823761,0.17283952236175537,0.47785040736198425,0.10714285714285714,0.05660377358490566,0.10714285714285714,0.05660377358490566,0.21014492753623187,0.11740890688259109,0.21739130434782608,0.12195121951219512
2017-10-31,120,0.01,0.49258649435910273,0.49682712425932957,0.16690516471862793,0.48944544792175293,0.16851520538330078,0.4865829348564148,0.0,0.0,0.0,0.0,0.10714285714285714,0.05660377358490566,0.1,0.05263157894736842
2017-11-30,120,0.01,0.5031793570097327,0.5099287623408455,0.16020441055297852,0.49925968050956726,0.160733163356781,0.5015156269073486,0.0,0.0,0.0,0.0,0.09859154929577464,0.05185185185185185,0.09859154929577464,0.05185185185185185
2017-12-29,120,0.01,0.5242425168633336,0.5308331161289507,0.16204839944839478,0.48176079988479614,0.1634514331817627,0.4791301488876343,0.0,0.0,0.0,0.0,0.1258741258741259,0.06716417910447761,0.1258741258741259,0.06716417910447761
2018-01-31,120,0.01,0.5735939325017151,0.5801804309780393,0.15494658052921295,0.4458807110786438,0.15356774628162384,0.43640124797821045,0.03333333333333333,0.01694915254237288,0.0,0.0,0.14383561643835616,0.07749077490774908,0.11643835616438356,0.06181818181818182
2018-02-28,120,0.01,0.4771896713988743,0.48274332942854625,0.17011213302612305,0.4990714490413666,0.17055007815361023,0.5017518997192383,0.0,0.0,0.0,0.0,0.03496503496503497,0.017793594306049824,0.03496503496503497,0.017793594306049824
