analysis_date,universe_n,adv20_n,adv20_mean,adv20_p01,adv20_p05,adv20_p10,adv20_p25,adv20_p50,adv20_p75,adv20_p90,adv20_p95,adv20_p99,adv60_n,adv60_mean,adv60_p01,adv60_p05,adv60_p10,adv60_p25,adv60_p50,adv60_p75,adv60_p90,adv60_p95,adv60_p99
2021-01-29,4059,4059,263701918.7656722,5701968.923480263,10275168.34,14617801.56,29674811.940999225,70906393.65,206181039.9205002,577723743.7040037,1025765850.7499994,3413335035.800089,4053,222201102.07772315,6878103.814346344,12087326.3276001,17229044.113700103,35292123.0,80642728.76666667,195332685.41666666,488764430.2845336,830716139.3299344,2487142503.8393335
2021-02-26,4077,4077,232747080.91646555,5154915.056,9052966.624099731,12832493.430000002,24745443.9,61171312.1,174967974.95,499578554.43159914,892445093.7321988,3195296113.23,4068,228065129.24396387,6415838.358,11333376.115833333,15919103.633933362,31863421.194833502,73613308.81666666,190279164.20416665,495361136.4783334,871299005.6399988,2620069747.617663
2021-03-31,4125,4125,187092991.0034214,6108939.130399826,10552288.114800416,14284229.9,27513683.4,66361914.4,164562316.2,395955010.4865966,688205580.1706972,2177972340.682581,4115,225304529.46496293,6683543.7113333335,11224644.211666666,15974949.3209669,30766037.199667357,72584224.3306666,186360190.77225006,476783552.0097989,828124001.8616662,2814428890.5523653
2021-04-30,4157,4157,176477503.16489112,6694306.226,11882237.934000092,16458546.435799107,30107262.701999664,68527715.15,159706538.9350006,374279772.5463999,606023215.7499998,2037181776.3085375,4151,195641229.2393159,6931198.6179169975,12100945.938666407,16648355.048667017,31287198.56550026,70891158.9475001,167814829.16483358,409971912.6333333,693150674.425,2389618750.925
2021-05-31,4189,4189,202733406.0017105,6173539.084639892,10439995.192999877,15029638.23,28768089.5,67020236.124499895,178810350.4,455025273.34590155,752659356.1999999,2379065685.656882,4185,188612461.44648752,7825467.4306666665,12402888.500566686,17457018.997533467,33396423.090833537,72411503.28700206,170038476.9,406583568.164267,662524333.7166662,2127485554.2022889
2021-06-30,4231,4231,225764004.71055454,7267938.851349945,12290647.410749817,17137059.751001738,34663976.075,81229300.77600174,201000323.42725068,519958535.19899905,859363056.75,2663629049.6920877,4219,202163458.28297195,8133883.497711151,13786939.438299961,18880609.271800157,36346092.21658338,77903193.46666667,184235318.53483647,444904723.92016673,728100760.0201665,2328105783.506332
2021-07-30,4289,4289,277596950.51999104,6791987.037439759,11275568.624400025,16368036.969100038,34268672.43050156,84949038.2,236130218.25,624282549.5740031,1099745963.7,3344659451.998057,4277,237308036.18100992,7956270.950226969,13031611.293333333,18654398.003000274,36921945.28333333,85040803.69916686,209819085.38333333,532961043.6960006,878262338.7585332,2644622200.777056
2021-08-31,4336,4336,293947122.32190907,7573182.563974457,12626972.825,18345534.5,38564840.89750061,96707966.3734993,268901348.75,673286622.9585006,1170440165.5948749,3170377032.841207,4325,269328023.3475651,8273369.571287262,13196098.163533427,19521761.361033227,40323750.94966634,92452875.32616663,244553089.65299886,603398052.0257024,1020064558.520434,2991889022.854029
2021-09-30,4380,4380,305780560.66148496,8916139.361000001,15769833.192075005,22141420.832599793,41057426.875499725,100655258.42149982,281243707.075,698629289.5266045,1306034427.2325006,3295462348.773288,4372,295005674.13112944,9316869.216,15193588.132024817,21599982.884266723,43604381.45,102680823.61125031,272299082.2291666,658725082.4523482,1151213672.556364,3330779017.066771
2021-10-29,4418,4418,228692473.15459368,5841824.610824974,10095408.940025045,13920001.710451966,27559973.257749557,71834874.25,202743254.3875,541436424.1075519,942402008.898897,2606231211.0097704,4405,279809170.6142087,8515778.803333333,14440119.886466624,20822147.09573293,40758967.50966644,97766956.31066743,261706903.81283367,627935576.4545336,1095090106.68,2936812089.833812
2021-11-30,4454,4454,246221797.96643898,6463079.0195,11702562.558026008,17011953.144351732,35920325.85175057,95343882.98974991,253967017.34262407,573198960.3554986,982583657.5974206,2390299937.318876,4448,264316130.8303231,8517118.453301692,14264896.831316046,20397520.15833333,40185124.093374826,98101096.6,251215672.12933135,616775771.7777498,1035491855.6535921,2760518086.7938576
2021-12-31,4497,4497,242498111.3564253,10090202.196,18160225.27,25920399.146799926,48564863.22550049,107798242.45400009,252542361.96050414,527683003.03420174,872150266.8399998,2186378178.5415254,4490,240427204.76978412,8921588.109431818,16114357.375266623,22363643.829683505,41995749.34550009,101263766.04308335,242736185.41129136,544545623.9834853,911281699.6486099,2357063476.1107755
2022-01-28,4533,4533,227430252.5748702,11452149.656559937,19959616.66,27148416.39910035,49506701.04349937,105487383.944001,237864794.70349997,513137891.7091946,855070575.112406,1865384501.159125,4525,239478200.39001468,11596597.192,20812899.040000003,28991653.627933554,52135171.86666667,114221053.52383372,251800497.8,521285026.3705313,875266110.1294966,2025188954.2020125
