window_id,window_start,window_end,network_date,code,name,industry,degree,strength
13,2023-12-29,2025-01-14,2025-01-14,002460,赣锋锂业,新能源,9,0.668821808776942
13,2023-12-29,2025-01-14,2025-01-14,002415,海康威视,电子,9,0.9602675054062274
13,2023-12-29,2025-01-14,2025-01-14,000725,京东方A,电子,10,0.7258512893728025
13,2023-12-29,2025-01-14,2025-01-14,603501,韦尔股份,电子,6,0.8695184392827655
13,2023-12-29,2025-01-14,2025-01-14,002475,立讯精密,电子,6,0.5131609279812746
13,2023-12-29,2025-01-14,2025-01-14,601318,中国平安,非银金融,10,1.0842523144880711
13,2023-12-29,2025-01-14,2025-01-14,600030,中信证券,非银金融,9,0.6937025516687525
14,2024-01-29,2025-02-19,2025-02-19,000001,平安银行,银行,8,0.8886978408181412
14,2024-01-29,2025-02-19,2025-02-19,600036,招商银行,银行,5,0.8637559188183216
14,2024-01-29,2025-02-19,2025-02-19,601398,工商银行,银行,3,0.8500077940651896
14,2024-01-29,2025-02-19,2025-02-19,601288,农业银行,银行,4,0.7187154696172668
14,2024-01-29,2025-02-19,2025-02-19,600519,贵州茅台,食品饮料,7,0.9220671584318795
14,2024-01-29,2025-02-19,2025-02-19,000858,五粮液,食品饮料,10,1.1761141948061506
14,2024-01-29,2025-02-19,2025-02-19,000568,泸州老窖,食品饮料,9,1.0172796792616017
14,2024-01-29,2025-02-19,2025-02-19,600887,伊利股份,食品饮料,9,0.7129772432492415
14,2024-01-29,2025-02-19,2025-02-19,002460,赣锋锂业,新能源,9,0.6834128406544482
14,2024-01-29,2025-02-19,2025-02-19,002415,海康威视,电子,10,0.9275771100410554
14,2024-01-29,2025-02-19,2025-02-19,000725,京东方A,电子,10,0.7401806785016165
14,2024-01-29,2025-02-19,2025-02-19,603501,韦尔股份,电子,5,0.7923860471788157
14,2024-01-29,2025-02-19,2025-02-19,002475,立讯精密,电子,6,0.5460443216327815
14,2024-01-29,2025-02-19,2025-02-19,601318,中国平安,非银金融,10,1.0886675532908046
14,2024-01-29,2025-02-19,2025-02-19,600030,中信证券,非银金融,9,0.7216520190179632
15,2024-03-05,2025-03-19,2025-03-19,000001,平安银行,银行,9,0.9129009274136365
15,2024-03-05,2025-03-19,2025-03-19,600036,招商银行,银行,5,0.8426088347199279
15,2024-03-05,2025-03-19,2025-03-19,601398,工商银行,银行,3,0.8506634322351256
15,2024-03-05,2025-03-19,2025-03-19,601288,农业银行,银行,4,0.7401030625669517
15,2024-03-05,2025-03-19,2025-03-19,600519,贵州茅台,食品饮料,7,0.9312050583838132
15,2024-03-05,2025-03-19,2025-03-19,000858,五粮液,食品饮料,10,1.1647097333035827
15,2024-03-05,2025-03-19,2025-03-19,000568,泸州老窖,食品饮料,7,0.9703300120289974
15,2024-03-05,2025-03-19,2025-03-19,600887,伊利股份,食品饮料,9,0.7354056960816377
15,2024-03-05,2025-03-19,2025-03-19,002460,赣锋锂业,新能源,9,0.6790324811007639
15,2024-03-05,2025-03-19,2025-03-19,002415,海康威视,电子,9,0.8789720841047525
15,2024-03-05,2025-03-19,2025-03-19,000725,京东方A,电子,9,0.7476469594654971
15,2024-03-05,2025-03-19,2025-03-19,603501,韦尔股份,电子,5,0.7913093992576264
15,2024-03-05,2025-03-19,2025-03-19,002475,立讯精密,电子,7,0.5396199614632055
15,2024-03-05,2025-03-19,2025-03-19,601318,中国平安,非银金融,10,1.1181987279553627
15,2024-03-05,2025-03-19,2025-03-19,600030,中信证券,非银金融,9,0.74254658387908
16,2024-04-02,2025-04-17,2025-04-17,000001,平安银行,银行,8,0.9410464168487355
16,2024-04-02,2025-04-17,2025-04-17,600036,招商银行,银行,5,0.8187094846410636
16,2024-04-02,2025-04-17,2025-04-17,601398,工商银行,银行,3,0.8357391627445044
16,2024-04-02,2025-04-17,2025-04-17,601288,农业银行,银行,4,0.7189980648404147
16,2024-04-02,2025-04-17,2025-04-17,600519,贵州茅台,食品饮料,7,0.9251718857801918
16,2024-04-02,2025-04-17,2025-04-17,000858,五粮液,食品饮料,9,1.1333412218418826
16,2024-04-02,2025-04-17,2025-04-17,000568,泸州老窖,食品饮料,7,0.9923595007000554
