security_id,EXPLICIT_SUSPENSION,OPEN_BUT_RETURN_MISSING,RETURN_OBSERVED,NO_RAW_RECORD,OTHER,expected_trade_days,diagnostic_raw_coverage,suspension_adjusted_coverage,missing_day_count,suspension_share_of_missing,analysis_date,next_analysis_date,window,future_return_coverage,future_valid_return_days
600229.XSHG,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
600257.XSHG,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
600259.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600265.XSHG,9,0,11,0,0,20,0.55,1.0,9,1.0,2015-04-30,2015-05-29,60,0.55,11
600280.XSHG,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
600289.XSHG,10,1,9,0,0,20,0.45,0.95,11,0.9090909090909091,2015-04-30,2015-05-29,60,0.45,9
600297.XSHG,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
600319.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600346.XSHG,19,0,1,0,0,20,0.05,1.0,19,1.0,2015-04-30,2015-05-29,60,0.05,1
600366.XSHG,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
600376.XSHG,13,0,7,0,0,20,0.35,1.0,13,1.0,2015-04-30,2015-05-29,60,0.35,7
600408.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600415.XSHG,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
600416.XSHG,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
600444.XSHG,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
600462.XSHG,8,0,12,0,0,20,0.6,1.0,8,1.0,2015-04-30,2015-05-29,60,0.6,12
600487.XSHG,15,1,4,0,0,20,0.2,0.95,16,0.9375,2015-04-30,2015-05-29,60,0.2,4
600521.XSHG,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
600561.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600562.XSHG,8,0,12,0,0,20,0.6,1.0,8,1.0,2015-04-30,2015-05-29,60,0.6,12
600568.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600572.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600587.XSHG,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
600595.XSHG,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
600629.XSHG,7,1,12,0,0,20,0.6,0.95,8,0.875,2015-04-30,2015-05-29,60,0.6,12
600645.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600657.XSHG,7,0,13,0,0,20,0.65,1.0,7,1.0,2015-04-30,2015-05-29,60,0.65,13
600708.XSHG,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
600734.XSHG,19,0,1,0,0,20,0.05,1.0,19,1.0,2015-04-30,2015-05-29,60,0.05,1
600763.XSHG,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
600765.XSHG,19,0,1,0,0,20,0.05,1.0,19,1.0,2015-04-30,2015-05-29,60,0.05,1
600785.XSHG,15,1,4,0,0,20,0.2,0.95,16,0.9375,2015-04-30,2015-05-29,60,0.2,4
600790.XSHG,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
600793.XSHG,9,0,11,0,0,20,0.55,1.0,9,1.0,2015-04-30,2015-05-29,60,0.55,11
600856.XSHG,10,1,9,0,0,20,0.45,0.95,11,0.9090909090909091,2015-04-30,2015-05-29,60,0.45,9
600869.XSHG,15,0,5,0,0,20,0.25,1.0,15,1.0,2015-04-30,2015-05-29,60,0.25,5
600872.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600879.XSHG,11,0,9,0,0,20,0.45,1.0,11,1.0,2015-04-30,2015-05-29,60,0.45,9
600890.XSHG,8,0,12,0,0,20,0.6,1.0,8,1.0,2015-04-30,2015-05-29,60,0.6,12
600898.XSHG,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
600970.XSHG,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
600999.XSHG,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
601158.XSHG,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
601233.XSHG,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
601566.XSHG,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
601567.XSHG,19,0,1,0,0,20,0.05,1.0,19,1.0,2015-04-30,2015-05-29,60,0.05,1
601579.XSHG,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
601777.XSHG,16,1,3,0,0,20,0.15,0.95,17,0.9411764705882353,2015-04-30,2015-05-29,60,0.15,3
601877.XSHG,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
603009.XSHG,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
603011.XSHG,14,0,6,0,0,20,0.3,1.0,14,1.0,2015-04-30,2015-05-29,60,0.3,6
603111.XSHG,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
603518.XSHG,16,0,4,0,0,20,0.2,1.0,16,1.0,2015-04-30,2015-05-29,60,0.2,4
603588.XSHG,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
603806.XSHG,12,0,8,0,0,20,0.4,1.0,12,1.0,2015-04-30,2015-05-29,60,0.4,8
000016.XSHE,16,1,4,0,0,21,0.19047619047619047,0.9523809523809523,17,0.9411764705882353,2015-05-29,2015-06-30,60,0.19047619047619047,4
000035.XSHE,9,0,12,0,0,21,0.5714285714285714,1.0,9,1.0,2015-05-29,2015-06-30,60,0.5714285714285714,12
000066.XSHE,8,0,13,0,0,21,0.6190476190476191,1.0,8,1.0,2015-05-29,2015-06-30,60,0.6190476190476191,13
000166.XSHE,5,1,15,0,0,21,0.7142857142857143,0.9523809523809523,6,0.8333333333333334,2015-05-29,2015-06-30,60,0.7142857142857143,15
000519.XSHE,11,0,10,0,0,21,0.47619047619047616,1.0,11,1.0,2015-05-29,2015-06-30,60,0.47619047619047616,10
