analysis_date,window,factor_name,n,nonmissing_count,missing_share,mean,std,p01,p05,median,p95,p99
2020-03-31,60,neighbor_jaccard_1m,3718,3640,0.02097902097902098,0.23855616579334302,0.20773960068031147,0.0,0.0,0.2,0.625,0.779343286494926
2020-04-30,60,neighbor_jaccard_1m,3744,3700,0.011752136752136752,0.24960497584067162,0.1842806676484258,0.0,0.0,0.23076923076923078,0.5675746058558558,0.6538594164456231
2020-05-29,60,neighbor_jaccard_1m,3738,3724,0.003745318352059925,0.2396018733655135,0.17798374414747006,0.0,0.0,0.21712938711367208,0.5526315789473685,0.644856385329209
2020-06-30,60,neighbor_jaccard_1m,3749,3721,0.007468658308882369,0.19380559707459322,0.14572307892157402,0.0,0.0,0.16666666666666666,0.46153846153846156,0.550985818056036
2020-07-31,60,neighbor_jaccard_1m,3765,3727,0.010092961487383798,0.1324730864875742,0.12087075629371681,0.0,0.0,0.1,0.36666666666666664,0.48023307086614164
2020-08-31,60,neighbor_jaccard_1m,3791,3753,0.010023740437879188,0.2123183010831074,0.18464079567571934,0.0,0.0,0.16923076923076924,0.5757914614729491,0.7077769816390507
2020-09-30,60,neighbor_jaccard_1m,3821,3770,0.013347291285003926,0.227789463890105,0.17175951498995332,0.0,0.0,0.2042305973484284,0.5327102803738317,0.6388888888888888
2020-10-30,60,neighbor_jaccard_1m,3864,3815,0.012681159420289856,0.23690760529956978,0.182268763418019,0.0,0.0,0.20454545454545456,0.5714285714285714,0.6679184861717614
2020-11-30,60,neighbor_jaccard_1m,3936,3859,0.0195630081300813,0.17310373288213368,0.16176313706413425,0.0,0.0,0.125,0.4907894736842105,0.6313287316652287
2020-12-31,60,neighbor_jaccard_1m,4004,3921,0.020729270729270728,0.14965316724342545,0.1315360438311834,0.0,0.0,0.11764705882352941,0.41089108910891087,0.5171544479860911
2021-01-29,60,neighbor_jaccard_1m,4030,3989,0.010173697270471464,0.16437611332684068,0.1448751628343743,0.0,0.0,0.125,0.4578313253012048,0.5891475312900364
2021-02-26,60,neighbor_jaccard_1m,4045,4025,0.004944375772558714,0.2892794608809907,0.18338727609814515,0.0,0.0,0.273972602739726,0.6092391304347824,0.7272727272727273
2021-03-31,60,neighbor_jaccard_1m,4099,4030,0.01683337399365699,0.24225814929107053,0.16722603486386284,0.0,0.0,0.225,0.5417946927374301,0.6340467193404329
2021-04-30,60,neighbor_jaccard_1m,4136,4094,0.010154738878143133,0.19151219163697997,0.15869136918712734,0.0,0.0,0.15384615384615385,0.4942980756812605,0.6
