analysis_date,window,factor_order,factor_name,factor_orientation,target_name,target_role,portfolio,portfolio_weighting,sort_portfolio_n,return_observation_n,return_coverage_within_portfolio,portfolio_mean_return,portfolio_median_return
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,365,365,1.0,-0.13698001164461124,-0.16435643564356486
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,381,381,1.0,-0.11633169531698538,-0.13871543264941985
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,346,346,1.0,-0.10619197537938387,-0.1277942017928666
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,364,364,1.0,-0.10050335955136806,-0.12370681801262251
2015-05-29,60,7,neighbor_jaccard_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,360,360,1.0,-0.03143350241430136,-0.05980925368944903
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,371,371,1.0,-0.05611564821964523,-0.08412987412291076
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,418,418,1.0,-0.03821525536022949,-0.055897866377054656
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,301,301,1.0,-0.005408446686419109,-0.036203049816367086
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,390,390,1.0,-0.0322457518469856,-0.045879897038013616
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,332,332,1.0,0.05187572909702315,0.025365085521899547
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,371,371,1.0,-0.1363503613155839,-0.16435643564356486
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,418,418,1.0,-0.11845765082206137,-0.13613723095849478
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,301,301,1.0,-0.08566242022385685,-0.11645102175974836
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,390,390,1.0,-0.11248974315068784,-0.12612242178497834
2015-05-29,60,8,neighbor_retention_1m,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,332,332,1.0,-0.028397630116879045,-0.05490392181808766
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,460,460,1.0,-0.07308971398030754,-0.10057057200627677
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,468,468,1.0,-0.04313078470608007,-0.06969533785541827
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,350,350,1.0,-0.022194593339321316,-0.03651531034916433
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,256,256,1.0,-0.019152652478746566,-0.037189127786461655
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,380,380,1.0,0.07002256790957563,0.051538914468072704
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,460,460,1.0,-0.15331789823880335,-0.18079188699274273
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,468,468,1.0,-0.1233703131844289,-0.14992972575273267
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,350,350,1.0,-0.10244272792541559,-0.11676210060107547
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,256,256,1.0,-0.0994020706038155,-0.11743550918997757
2015-05-29,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,380,380,1.0,-0.010257791570614037,-0.028737889499869294
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,468,468,1.0,-0.037588150541188095,-0.05273781666140094
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,290,290,1.0,-0.04094170412264962,-0.06399918680879105
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,330,330,1.0,-0.04067078224726959,-0.05726708171959037
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,364,364,1.0,-0.041617216626264324,-0.06055410841360105
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,350,350,1.0,-0.036907207452021924,-0.05294588484202979
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,468,468,1.0,-0.17984602551101425,-0.1949946598185812
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,290,290,1.0,-0.1831985195953052,-0.2062539710044476
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,330,330,1.0,-0.18292751315394934,-0.19952181709503902
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,364,364,1.0,-0.18387371779337608,-0.20280480536365908
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,350,350,1.0,-0.17916652900595825,-0.19520340048709145
2015-06-30,60,2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,361,361,1.0,-0.031011507280318318,-0.04517237975867994
2015-06-30,60,2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,360,360,1.0,-0.037401851053345654,-0.06507211735460829
