factor_order,factor_name,target_name,target_role,window,year,month_count,mean_q5_minus_q1,median_q5_minus_q1,positive_spread_share,mean_portfolio_return_spearman,mean_q5_minus_q1_bps
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2021,12,-0.023699139912852486,-0.02802113203827503,0.25,-0.5333333333333332,-236.99139912852485
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2022,12,-0.012086977059815119,-0.002897320201011723,0.4166666666666667,-0.08333333333333331,-120.86977059815119
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2023,12,-0.014570188869865337,-0.02237451641964469,0.16666666666666666,-0.4666666666666666,-145.70188869865336
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2024,12,-0.012849735914652693,-0.012592215433546852,0.3333333333333333,-0.425,-128.49735914652692
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2025,12,-0.015426588564677124,-0.011107372339802619,0.16666666666666666,-0.44999999999999996,-154.26588564677124
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2026,7,-0.01230017676846584,-0.013872640445090498,0.14285714285714285,-0.2714285714285714,-123.0017676846584
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2015,6,-0.028661405298201534,-0.03683038074100109,0.16666666666666666,-0.49999999999999994,-286.6140529820153
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2016,12,-0.011087261224805458,-0.012229882342820176,0.25,-0.3499999999999999,-110.87261224805458
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2017,12,0.012462096276922125,0.02015362323678807,0.75,0.3333333333333333,124.62096276922125
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2018,12,-0.010085741762567015,-0.005813281614566887,0.4166666666666667,-0.16666666666666663,-100.85741762567015
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2019,12,-0.004428469002889108,-0.0033024808087768337,0.16666666666666666,-0.28333333333333327,-44.284690028891085
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2020,12,-0.0014779759881944777,-0.003866339565923146,0.4166666666666667,-0.04999999999999999,-14.779759881944777
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2021,12,-0.02127792554092475,-0.029652216229700826,0.3333333333333333,-0.3166666666666666,-212.7792554092475
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2022,12,-0.01505670727072841,-0.013790557605238514,0.3333333333333333,-0.1333333333333333,-150.5670727072841
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,120,2023,12,-0.01601544954257313,-0.026520337822038068,0.16666666666666666,-0.575,-160.1544954257313
