security_id,stock_code,stock_name,exchange,list_date,delist_date,list_status,security_type,board,is_standard_a_share_code,_source_file,exclude_reason
A20244,A20244,一通密封,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20245,A20245,森合高科,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20246,A20246,正业设计,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20247,A20247,星邦智能,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20250,A20250,仙迪股份,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20255,A20255,华剑智能,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20263,A20263,中联数据,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20268,A20268,国人科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20271,A20271,老鹰股份,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20272,A20272,浩明科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20279,A20279,晶导微,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20286,A20286,前进科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20287,A20287,武侯高新,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20289,A20289,徐辉设计,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20290,A20290,力同科技,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20295,A20295,倍特药业,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20297,A20297,电旗股份,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20304,A20304,三羊马,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20308,A20308,咏声动漫,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20310,A20310,上特展示,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20314,A20314,东方节能,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20316,A20316,海默尼,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20331,A20331,亚洲渔港,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20332,A20332,集美新材,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
A20333,A20333,创智和宇,SZSE,,,O,,SZSE_MAIN,False,D:\lowfreq\uqer_daily_info\main\stock_name.csv,NON_STANDARD_A_SHARE_CODE
