analysis_date,window,expected_node_count,actual_node_count,expected_edge_count,expected_degree_sum,raw_degree_sum,residual_degree_sum,node_count_ok,key_unique,raw_degree_sum_ok,residual_degree_sum_ok,degree_nonnegative,strength_nonnegative,percentile_valid,degree_percentile_match,percentile_source_copy_ok,max_raw_degree_percentile_diff,max_residual_degree_percentile_diff,raw_strength_float32_rank_diff,residual_strength_float32_rank_diff,raw_degree_source_copy_diff,raw_strength_source_copy_diff,residual_degree_source_copy_diff,residual_strength_source_copy_diff,raw_isolated_share,residual_isolated_share,mean_delta_degree_percentile,mean_delta_strength_percentile,median_abs_delta_degree_percentile,median_abs_delta_strength_percentile,qa_pass,qa_errors
2025-07-31,120,5102,5102,129986,259972,259972,259972,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790639732851787e-08,2.9790639732851787e-08,0.0,0.0,0.0,0.0,0.34692277538220306,0.01097608780870247,5.200949195598631e-09,2.0745748844580387e-09,0.1709623634815216,0.16797333769500256,True,
2025-08-29,120,5111,5111,130444,260888,260888,260888,True,True,True,True,True,True,True,True,True,0.0,0.0,9.782761306215138e-05,2.979649138534768e-08,0.0,0.0,0.0,0.0,0.3650948933672471,0.010761103502250048,2.799798739770461e-10,-5.195981846049769e-10,0.167384073138237,0.16914497315883636,True,
2025-09-30,120,5122,5122,131029,262058,262058,262058,True,True,True,True,True,True,True,True,True,0.0,0.0,2.97906853630181e-08,2.97906853630181e-08,0.0,0.0,0.0,0.0,0.13998438110113237,0.005076142131979695,-4.150222133072686e-10,-1.3209797939440552e-10,0.13627490401268005,0.1377391517162323,True,
2025-10-31,120,5124,5124,131177,262354,262354,262354,True,True,True,True,True,True,True,True,True,0.0,0.0,2.977905755319199e-08,2.977905755319199e-08,0.0,0.0,0.0,0.0,0.13700234192037472,0.0117096018735363,2.294863159073972e-09,4.994680786579499e-10,0.12295082211494446,0.12314599752426147,True,
2025-11-28,120,5130,5130,131490,262980,262980,262980,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790703570675703e-08,9.749128572189569e-05,0.0,0.0,0.0,0.0,0.13898635477582846,0.012475633528265107,2.228275493339256e-09,3.358570688184474e-11,0.11803117394447327,0.11832356452941895,True,
2025-12-31,120,5132,5132,131589,263178,263178,263178,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9779093746462593e-08,9.743673022799548e-05,0.0,0.0,0.0,0.0,0.14321901792673422,0.015003897116134061,9.299615225286476e-10,1.708574053001701e-10,0.1098012626171112,0.10814495384693146,True,
2026-01-30,120,5138,5138,131887,263774,263774,263774,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790721667311004e-08,2.9790721667311004e-08,0.0,0.0,0.0,0.0,0.14986376021798364,0.02452316076294278,-4.908566625260248e-10,-2.755177721711809e-11,0.10558587312698364,0.10373687744140625,True,
2026-02-27,120,5136,5136,131786,263572,263572,263572,True,True,True,True,True,True,True,True,True,0.0,0.0,2.970948020930564e-08,9.73379129189933e-05,0.0,0.0,0.0,0.0,0.16160436137071651,0.04147196261682243,6.959532790837629e-10,5.944072039699257e-10,0.0985688865184784,0.09754674881696701,True,
2026-03-31,120,5142,5142,132089,264178,264178,264178,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790730660117504e-08,2.9790730660117504e-08,0.0,0.0,0.0,0.0,0.22831583041618048,0.051925320886814466,6.368203369015991e-10,2.941399963390776e-10,0.11192142963409424,0.11046285182237625,True,
2026-04-30,120,5150,5150,132462,264924,264924,264924,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790748645730503e-08,9.710242447347195e-05,0.0,0.0,0.0,0.0,0.24427184466019417,0.04310679611650486,2.922363651608958e-10,-2.560684981855374e-10,0.11339807510375977,0.11349514126777649,True,
2026-05-29,120,5140,5140,131953,263906,263906,263906,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9779129939733195e-08,2.9779129939733195e-08,0.0,0.0,0.0,0.0,0.22431906614785993,0.04455252918287938,-2.605166532650068e-09,-1.859021325983426e-10,0.12363813817501068,0.12373540550470352,True,
2026-06-30,120,5157,5157,132846,265692,265692,265692,True,True,True,True,True,True,True,True,True,0.0,0.0,2.979654334378523e-08,2.979654334378523e-08,0.0,0.0,0.0,0.0,0.23792902850494474,0.08842350203606748,6.429141682433786e-10,7.223754699363805e-12,0.10820244252681732,0.10684505105018616,True,
2026-07-31,120,5168,5168,133426,266852,266852,266852,True,True,True,True,True,True,True,True,True,0.0,0.0,2.971005508278779e-08,2.971005508278779e-08,0.0,0.0,0.0,0.0,0.2881191950464396,0.17047213622291021,1.918870505902789e-09,-1.2787664453311602e-09,0.10129642486572266,0.09849071502685547,True,
2026-08-31,120,5170,5170,133545,267090,267090,267090,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790793387718395e-08,2.9790793387718395e-08,0.0,0.0,0.0,0.0,0.29129593810444876,0.18471953578336556,2.4772820205245767e-09,3.674851164827033e-10,0.10870406031608582,0.10406190156936646,True,
2026-09-03,120,5170,5170,133548,267096,267096,267096,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9790793387718395e-08,2.9790793387718395e-08,0.0,0.0,0.0,0.0,0.2911025145067698,0.1885880077369439,-1.6299045754585783e-09,-1.6673736461587754e-09,0.10531914234161377,0.10096713900566101,True,
2016-01-29,252,1487,1487,10038,20076,20076,20076,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0003362739735509601,2.9782280530632477e-08,0.0,0.0,0.0,0.0,0.40282447881640887,0.39071956960322796,3.2868734845877815e-09,-3.8480470063466715e-09,0.23268327116966248,0.2128446400165558,True,
2016-02-29,252,1505,1505,10314,20628,20628,20628,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0003322478940717133,2.9782520227783493e-08,0.0,0.0,0.0,0.0,0.3966777408637874,0.38073089700996676,-5.524815911074413e-09,-4.1782657965473165e-09,0.2478405237197876,0.21661129593849182,True,
2016-03-31,252,1540,1540,10695,21390,21390,21390,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0003246747054063137,2.972491375263786e-08,0.0,0.0,0.0,0.0,0.38766233766233765,0.38181818181818183,4.160713839840579e-09,1.8384549524876978e-09,0.246103897690773,0.21655844151973724,True,
2016-04-29,252,1599,1599,11493,22986,22986,22986,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9783684296624813e-08,2.9783684296624813e-08,0.0,0.0,0.0,0.0,0.38398999374609133,0.3889931207004378,-4.473144073200047e-10,-4.845906079300051e-10,0.23702314496040344,0.22482800483703613,True,
2016-05-31,252,1665,1665,12615,25230,25230,25230,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00030032138566715716,2.97844231500477e-08,0.0,0.0,0.0,0.0,0.3945945945945946,0.34894894894894896,3.5709088987058347e-09,3.839398289585972e-09,0.21201202273368835,0.22342342138290405,True,
2016-06-30,252,1720,1720,13758,27516,27516,27516,True,True,True,True,True,True,True,True,True,0.0,0.0,2.966370693524567e-08,2.966370693524567e-08,0.0,0.0,0.0,0.0,0.4238372093023256,0.35,4.5136656872061795e-09,3.5087036532025005e-09,0.20523257553577423,0.20872092992067337,True,
2016-07-29,252,1797,1797,15402,30804,30804,30804,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9785737876153462e-08,2.9785737876153462e-08,0.0,0.0,0.0,0.0,0.39510294936004453,0.3183082915971063,-3.814431913839689e-09,-4.726578675844833e-09,0.20784640312194824,0.21758490800857544,True,
2016-08-31,252,1857,1857,16611,33222,33222,33222,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0002692644160861013,2.978627378080745e-08,0.0,0.0,0.0,0.0,0.4286483575659666,0.2563274098007539,3.4665059966301495e-09,2.952949552684942e-09,0.1949380785226822,0.19816911220550537,True,
2016-09-30,252,1939,1939,17962,35924,35924,35924,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9786952460142402e-08,0.00025789426613742616,0.0,0.0,0.0,0.0,0.4321815368746777,0.18566271273852503,-2.612890565192472e-10,2.843439732709455e-10,0.15652400255203247,0.1650335192680359,True,
2016-10-31,252,1977,1977,18749,37498,37498,37498,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0002529367269381577,0.00025291191428133963,0.0,0.0,0.0,0.0,0.4294385432473445,0.17855336368234698,2.9998291123679145e-09,-1.7260323284729962e-09,0.17880630493164062,0.17400102317333221,True,
2016-11-30,252,2042,2042,20019,40038,40038,40038,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9773133070065683e-08,2.9773133070065683e-08,0.0,0.0,0.0,0.0,0.46180215475024483,0.18707149853085211,1.4375752963702195e-09,9.194644027545566e-10,0.18486778438091278,0.17850147187709808,True,
2016-12-30,252,2092,2092,21106,42212,42212,42212,True,True,True,True,True,True,True,True,True,0.0,0.0,2.97453389697111e-08,0.00023902738983272442,0.0,0.0,0.0,0.0,0.4737093690248566,0.10707456978967496,-1.2108974201501441e-09,1.4566383671806147e-09,0.19598470628261566,0.19000957906246185,True,
2017-01-26,252,2109,2109,21532,43064,43064,43064,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00023709882656619552,0.00023709642429270428,0.0,0.0,0.0,0.0,0.46609767662399243,0.07586533902323377,5.793718434781924e-09,-4.945857200423594e-10,0.19511616975069046,0.19511616975069046,True,
2017-02-28,252,2136,2136,22048,44096,44096,44096,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00023408172728867083,0.00023408038785843743,0.0,0.0,0.0,0.0,0.4461610486891386,0.08052434456928839,-7.394771004437508e-10,-2.8567535153935466e-09,0.18281835690140724,0.18422281742095947,True,
2017-03-31,252,2163,2163,22717,45434,45434,45434,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0002311852261582814,0.0002311545558070227,0.0,0.0,0.0,0.0,0.4137771613499769,0.030513176144244106,-4.776741859816976e-09,-2.788370315862154e-09,0.19163199979811907,0.19163199979811907,True,
2017-04-28,252,2189,2189,23349,46698,46698,46698,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00022841877673740463,0.00022843944367456626,0.0,0.0,0.0,0.0,0.38967565098218365,0.034262220191868434,-4.901249913006082e-10,-1.2116978951598368e-09,0.20511651039123535,0.20237553119659424,True,
2017-05-31,252,2210,2210,23807,47614,47614,47614,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00022626894092125927,0.0002262661899377072,0.0,0.0,0.0,0.0,0.3782805429864253,0.038461538461538464,-1.1555142532106978e-09,8.284978197710546e-10,0.1864253580570221,0.18552036583423615,True,
2017-06-30,252,2231,2231,24373,48746,48746,48746,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00022412428456219935,0.00022413347505867431,0.0,0.0,0.0,0.0,0.3733751680860601,0.03630658897355446,-2.1089384343152836e-09,-1.2907437923402329e-09,0.1826535165309906,0.18153297901153564,True,
2017-07-31,252,2271,2271,25254,50508,50508,50508,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00022015877097569803,0.0002201601095211947,0.0,0.0,0.0,0.0,0.42712461470717744,0.04051078819903126,-2.6803717955467934e-09,1.2794920443858622e-10,0.1933069135993719,0.1933069135993719,True,
2017-08-31,252,2284,2284,25636,51272,51272,51272,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9750129137973147e-08,2.9750129137973147e-08,0.0,0.0,0.0,0.0,0.4225043782837128,0.04553415061295972,-3.8753457745820965e-09,-3.0696131093280747e-09,0.18848512135446072,0.18848512135446072,True,
