analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,scope,portfolio_scope,liquidity_basis,participation_cap,target_executable_share,execution_days,trade_name_n,total_abs_trade_weight,zero_adv_trade_weight_share,capacity_status,capacity_cny,capacity_yi_cny,baseline_executable_share,coverage_at_capacity,root_upper_bracket_cny,root_iterations,name_capacity_p10_cny,name_capacity_p50_cny,name_capacity_p90_cny,gross_notional_at_capacity_cny,rebalance_type
2015-10-30,2015-09-30,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,425,0.7692931189823051,0.07456560989399172,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9254343901060084,0.9254343901060084,0.0,0,1810491242.7189498,12180120395.427013,192136183891.73627,0.0,PORTFOLIO_LEG
2016-02-29,2016-01-29,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,567,0.8903620325093918,0.08166591107971317,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9183340889202869,0.9183340889202869,0.0,0,1112348927.3677654,5167082566.039984,117450854579.19589,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,595,0.9630117015056183,0.057253493897742626,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9427465061022574,0.9427465061022574,0.0,0,1333267767.198038,5235891485.377909,123129030518.30737,0.0,PORTFOLIO_LEG
2016-04-29,2016-03-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,604,0.9661435559844609,0.061410916096248644,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9385890839037514,0.9385890839037514,0.0,0,1669060035.864,5567807992.012363,129530544571.90486,0.0,PORTFOLIO_LEG
2016-06-30,2016-05-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,602,0.8519360379144675,0.06548443795696739,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9345155620430325,0.9345155620430325,0.0,0,1372456172.030764,7608498369.651596,156059108744.35257,0.0,PORTFOLIO_LEG
2016-11-30,2016-10-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,682,0.9558770026534845,0.05148901648196503,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9485109835180351,0.9485109835180351,0.0,0,1706644804.010766,5821746607.822117,216214915347.44476,0.0,PORTFOLIO_LEG
2017-05-31,2017-04-28,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,703,0.8490062370734495,0.07561204612425834,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9243879538757417,0.9243879538757417,0.0,0,686581761.2922959,4747517640.181074,66257019239.270905,0.0,PORTFOLIO_LEG
2017-07-31,2017-06-30,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,715,0.8086791798591155,0.060314271618669424,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9396857283813307,0.9396857283813307,0.0,0,779120104.3100232,6938720658.457387,103430766711.54065,0.0,PORTFOLIO_LEG
2017-12-29,2017-11-30,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,764,0.738459161621807,0.06159817136984431,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9384018286301556,0.9384018286301556,0.0,0,540567881.8462859,6928188081.068686,102057854360.72064,0.0,PORTFOLIO_LEG
2018-02-28,2018-01-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,821,0.9041638040339841,0.05642494406392336,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9435750559360766,0.9435750559360766,0.0,0,546334596.4991102,3231192600.0865564,88457364026.54785,0.0,PORTFOLIO_LEG
