scope,portfolio_scope,factor_name,method,window,liquidity_basis,participation_cap,target_executable_share,execution_days,rebalance_n,no_trade_rebalance_n,capacity_status,mean_coverage_capacity_cny,mean_coverage_capacity_yi_cny,baseline_mean_executable_share,mean_executable_share_at_capacity,root_upper_bracket_cny,root_iterations,rebalance_capacity_zero_share,rebalance_capacity_infinite_share,rebalance_capacity_mean_cny_finite,rebalance_capacity_p10_cny_finite,rebalance_capacity_p25_cny_finite,rebalance_capacity_p50_cny_finite,rebalance_capacity_p75_cny_finite,rebalance_capacity_p90_cny_finite,share_rebalances_meeting_95pct_at_aggregate_capacity,gross_notional_at_capacity_cny,step3_grid_lower_pass_cny,step3_grid_upper_fail_cny,capacity_within_step3_grid_bracket
PORTFOLIO_LEG,Q1,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,133,0,PASS,835315138.3666856,8.353151383666857,0.9907007454190883,0.9500000000000126,835315138.370988,41,0.015037593984962405,0.0,1301531083.0143173,464828893.224299,710421056.2652323,953812771.3522404,1519306329.3800337,2649352457.4041576,0.6541353383458647,835315138.3666856,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,133,0,PASS,809008913.2014215,8.090089132014215,0.9904650096911539,0.9500000000001686,809008913.2059603,41,0.015037593984962405,0.0,1267440433.7292287,464842239.6305039,666602980.3367076,985406078.788651,1591515635.924888,2509755924.651155,0.6616541353383458,809008913.2014215,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,133,0,PASS,772716495.3232217,7.727164953232217,0.9877598103037137,0.9500000000001539,772716495.3272288,41,0.03759398496240601,0.0,1155869865.3643875,420647447.24106395,633101620.6130159,902411687.3669575,1371276933.8281174,2443169627.084751,0.6390977443609023,772716495.3232217,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,133,0,PASS,818765136.5625556,8.187651365625555,0.9909573496421437,0.9500000000002116,818765136.5674239,41,0.015037593984962405,0.0,1246589026.3579051,471764669.2567271,686419597.2404897,949434095.1162033,1451086014.8016496,2605917250.097161,0.6165413533834586,818765136.5625556,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,133,0,PASS,764252757.4338315,7.642527574338314,0.9885029956209042,0.9500000000003683,764252757.4413776,40,0.03007518796992481,0.0,1160548851.6325388,426196449.72587895,619923076.4625814,886432966.685574,1329446483.980434,2458511798.2394295,0.6390977443609023,764252757.4338315,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,ADV20,0.05,0.95,1,133,0,PASS,775853147.9731834,7.758531479731834,0.9907512591644125,0.9500000000004007,775853147.9774482,41,0.007518796992481203,0.0,1175779941.8605192,454520412.93843454,640763522.1407348,904133494.1781584,1411907345.8900328,2405312475.080891,0.6165413533834586,775853147.9731834,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,ADV20,0.05,0.95,1,128,0,PASS,725905199.9404132,7.259051999404132,0.9847968361743213,0.95000000000019,725905199.9441192,42,0.109375,0.0,1215496391.676142,0.0,604244919.5959165,943114484.7033479,1494318792.0642982,2851973367.618807,0.6484375,725905199.9404132,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,ADV20,0.05,0.95,1,128,0,PASS,835457396.9302285,8.354573969302285,0.9880481071266185,0.9500000000000643,835457396.9359646,42,0.046875,0.0,1380962177.1810422,380293024.877973,639361007.7097265,1031046788.6934062,1794350197.4830942,2966747449.4516,0.6171875,835457396.9302285,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,ADV20,0.05,0.95,1,128,0,PASS,752462967.0319178,7.524629670319178,0.9893597221098415,0.9500000000000073,752462967.0358028,42,0.03125,0.0,1266562956.8874044,343711787.07490206,586349502.0182395,942475140.7164506,1588523115.3687577,2904046861.997694,0.640625,752462967.0319178,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,ADV20,0.05,0.95,1,128,0,PASS,644200376.5948248,6.442003765948248,0.9825413448275219,0.9500000000002979,644200376.5992773,42,0.1328125,0.0,1031216942.0894943,0.0,462814858.7770218,810472741.9801978,1259400437.5682077,2310914257.1715484,0.625,644200376.5948248,500000000.0,1000000000.0,True
