regime_type,sample_scope,factor_name,window,alpha_hl,alpha_hl_t,idio_hl,idio_hl_t,idio_hl_q,capacity_mean_hl_yi,capacity_median_hl_yi,capacity_hl_t,capacity_hl_q,risk_capacity_pattern
NETWORK,NATIVE,neighbor_jaccard_1m,252,-0.0054499605167804,-0.5160952584443587,0.0163757533202213,1.514685378015972,0.3187278795485644,7.676556200961843,5.669049813561999,3.754539004625462,0.000925975954819,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,neighbor_retention_1m,60,-0.010161891722858,-1.436934047057234,0.0070896149889761,0.6977488468062719,0.728094367220545,4.253344137385104,3.636020753764411,1.6523371589409332,0.1022529858716924,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,neighbor_retention_1m,120,-0.0071405392685835,-0.9764559717960796,0.0181168936537051,2.4570129719401246,0.1260878650222184,5.666003743952183,3.790968482977286,2.7896869763561,0.0091092215669911,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,neighbor_retention_1m,252,-0.0088134597172155,-0.968249586860778,0.0191997269171701,2.1318829482445163,0.2228611748134576,7.566208305853872,5.514290682152279,3.67262905775931,0.000925975954819,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,outside_community_degree_percentile,60,-0.0146719219961094,-1.3877957490358532,-0.0102396280438301,-1.173050497410573,0.4924533063660856,4.708333170760092,6.021353859187059,1.7861020913511223,0.0963723806041184,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,outside_community_degree_percentile,120,-0.0083744649240354,-0.5541894660463484,0.0035744027553902,0.304589952519401,0.8435287323023715,6.292607557013254,5.137558244609584,2.7744948931971,0.0091092215669911,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,outside_community_degree_percentile,252,-0.0081496716238391,-0.5776098573285668,-0.0071372794935211,-0.5640558240557366,0.7919017854748327,8.878186665242199,6.114510522870264,3.714616758758386,0.000925975954819,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,residual_degree_percentile,60,-0.0052937192715448,-0.4531055797428476,-0.0126473415074758,-1.1374597086062874,0.4924533063660856,4.635488883360722,6.846151882757175,1.679117827472647,0.1005794090437921,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,residual_degree_percentile,120,0.0008474252451607,0.0581474355680337,0.0044233997721184,0.3646399938022636,0.8435287323023715,6.572581095797244,3.9443644478555058,2.907971114258118,0.0075554710194078,RISK_UP_CAPACITY_UP
NETWORK,NATIVE,residual_degree_percentile,252,-0.0114303898803871,-0.6202202747804052,-0.0049203801711771,-0.277957319159463,0.8435287323023715,9.110719987206409,7.666899085867335,3.679800488610392,0.000925975954819,RISK_DOWN_CAPACITY_UP
RECONFIG,COMMON_DATE,cross_industry_degree_percentile,60,-0.0227642787892087,-1.9818589598895424,0.0101121553389541,0.9679185509646572,0.6423783083310095,1.3602108172810752,1.0527476714312431,0.7278912987208209,0.9963603540020344,RISK_UP_CAPACITY_UP
RECONFIG,COMMON_DATE,cross_industry_degree_percentile,120,-0.0022182072892441,-0.1708561598806899,0.0064318332526971,0.5027236398129307,0.8805600201631432,-0.2301643910292234,0.4292895066001883,-0.1297951929548114,0.9963603540020344,RISK_UP_CAPACITY_DOWN
RECONFIG,COMMON_DATE,cross_industry_degree_percentile,252,-0.03322510058582,-3.235581957736197,-0.0057280996059576,-0.6415798319139472,0.8805600201631432,-1.3577563294729489,-0.3624885524313495,-0.6896825737475839,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
RECONFIG,COMMON_DATE,cross_industry_degree_ratio,60,0.0146161509605751,1.59349603562745,-0.0124804321231544,-1.4861568984314,0.6423783083310095,1.755628284452051,0.7757559918027823,0.9242986468133936,0.9963603540020344,RISK_DOWN_CAPACITY_UP
RECONFIG,COMMON_DATE,cross_industry_degree_ratio,120,0.0111994866256957,1.2023098084339765,-0.000732504662978,-0.0977099158628731,0.9576304354224436,-0.1628611330721963,1.80677819187574,-0.090287233989938,0.9963603540020344,RISK_DOWN_CAPACITY_DOWN
