factor_order,factor_name,method,window,target_name,month_count,mean_value,median_value,std_value,positive_share,negative_share,hac_lag,hac_se,hac_t_stat,mean_q5_minus_q1_bps
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,0.0025460853212957296,0.0037684465965769553,0.017278957651819922,0.5748031496062992,0.4251968503937008,4,0.0014839583338761716,1.7157390899549252,25.460853212957296
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,0.0030034079811953576,0.0014099288360476438,0.014370556226400759,0.5354330708661418,0.4645669291338583,4,0.0014421911933211096,2.082531078475832,30.034079811953575
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,-0.0022326686964697982,-0.002103655781669767,0.01289286233958342,0.4645669291338583,0.5354330708661418,4,0.0009773487922683736,-2.2844134193770222,-22.32668696469798
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,-0.002238716019780878,-0.00223942476722757,0.01125407946812342,0.4409448818897638,0.5590551181102362,4,0.0009513297217425137,-2.3532493189430777,-22.38716019780878
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,0.0037263244142484303,0.005309778204922597,0.01901748170298047,0.6141732283464567,0.3858267716535433,4,0.0016660110962750847,2.2366744270670544,37.263244142484304
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,0.002554727615520986,0.0027576950027812953,0.013625228297694332,0.5669291338582677,0.4330708661417323,4,0.0014214248411191686,1.7973005266388222,25.547276155209858
3,cross_industry_degree_percentile,RAW_COMMON,120,future_excess_return,121,-0.000755725795958545,1.2467916356397393e-05,0.030777568007616104,0.5041322314049587,0.49586776859504134,4,0.002348699470139805,-0.3217635144753368,-7.55725795958545
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,252,future_excess_return,126,0.0008825351684963161,0.00144920933927675,0.011057233772340653,0.5873015873015873,0.4126984126984127,4,0.0009988442816749928,0.8835563107157861,8.825351684963161
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,126,0.0007449297317276809,0.0010310312725377566,0.00953167125165681,0.5317460317460317,0.46825396825396826,4,0.0007836567992889889,0.9505815969485047,7.449297317276809
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,252,future_excess_return,126,0.000599017489671832,0.001771952368531103,0.009912006417532626,0.5634920634920635,0.4365079365079365,4,0.0008381614897219085,0.7146802818041409,5.990174896718321
