analysis_date,window,factor_order,factor_name,method,target_name,common_sample_n,spread_status,q1_return,q2_return,q3_return,q4_return,q5_return,q5_minus_q1,q5_minus_q1_bps,portfolio_spearman
2015-07-31,120,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1522,PASS,0.0033072494994110502,-0.014723805373287465,0.01471967520000676,0.00910051321912749,-0.004578010934827719,-0.00788526043423877,-78.85260434238769,0.09999999999999999
2015-07-31,120,4,cross_industry_degree_ratio,RAW_COMMON,future_excess_return,1268,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
2015-07-31,120,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,future_excess_return,1268,PASS,0.00048693241497744377,0.009114089218508087,0.018722410575834035,0.0011867388453004207,-0.014210462837184018,-0.014697395252161462,-146.97395252161462,-0.3
2015-07-31,120,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1268,PASS,0.00058707026093764,0.0064362177268684284,0.02150138907781402,-0.008949136391299307,-0.004326280278649545,-0.004913350539587185,-49.13350539587185,-0.49999999999999994
2015-07-31,120,5,delta_residual_degree_percentile_1m,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,7,neighbor_jaccard_1m,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,8,neighbor_retention_1m,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,120,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,1522,FEWER_THAN_5_PORTFOLIOS,,,,,,,,
2015-07-31,120,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1522,PASS,-0.010363155160121,-0.013952301966596525,0.015576664022578998,0.01337843482436167,0.0032053451814676283,0.01356850034158863,135.68500341588629,0.49999999999999994
2015-07-31,120,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1522,PASS,-0.009908997890356553,0.005331707421094637,0.0017316410587228791,0.011743555253206247,-0.00104044645949225,0.008868551430864303,88.68551430864304,0.3
