factor_order,factor_name,method,window,target_name,month_count,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,hac_lag,hac_se,hac_t_stat
9,outside_community_degree_percentile,RAW_COMMON,252,future_excess_return,127,0.012519981552235186,0.011914711649213717,0.11551129019200723,0.5511811023622047,0.44881889763779526,4,0.008509399466855949,1.471312000453196
9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,252,future_excess_return,127,0.024133443174292845,0.02553540082321006,0.06232186087391232,0.7007874015748031,0.2992125984251969,4,0.005892414447456119,4.095679859163974
9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,127,0.013336065002242624,0.012457465298070956,0.049406656020874795,0.6692913385826772,0.33070866141732286,4,0.005112255791741368,2.608645878750134
5,delta_residual_degree_percentile_1m,RAW_COMMON,252,future_excess_return,126,0.0017470135578395779,0.008661534322029327,0.05312264088073802,0.5476190476190477,0.4523809523809524,4,0.00438916065421185,0.3980290755962963
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,252,future_excess_return,126,0.007560918941584165,0.008454145765977113,0.03233582479074764,0.6031746031746031,0.3968253968253968,4,0.0029946169579555862,2.5248367479846157
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,126,0.0020262160471441856,0.0015539166143187521,0.028575789355198424,0.5238095238095238,0.47619047619047616,4,0.002443477588628805,0.8292345534796691
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,252,future_excess_return,126,0.002500401661542386,0.003583074717480778,0.046301593610516424,0.5317460317460317,0.46825396825396826,4,0.003951719342174069,0.6327376630362548
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,252,future_excess_return,126,0.007331785954982803,0.007184931607021637,0.031235888807549714,0.6031746031746031,0.3968253968253968,4,0.0028549790160579116,2.5680699976234367
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,126,0.0018959006814231246,0.0026108355231456324,0.02759788870711927,0.5158730158730159,0.48412698412698413,4,0.002445657659254505,0.775210984353812
7,neighbor_jaccard_1m,RAW_COMMON,252,future_excess_return,126,0.01490626047167526,0.019958051447473344,0.08004249756599209,0.5873015873015873,0.4126984126984127,4,0.006292112380463061,2.369039135085863
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,252,future_excess_return,126,0.016149575874089078,0.011657723820694705,0.04966664959716328,0.626984126984127,0.373015873015873,4,0.0043394484897559945,3.7215733548198338
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,126,0.005122008504658674,0.002077161881217591,0.04224150816051858,0.5317460317460317,0.46825396825396826,4,0.004202779714479318,1.2187192412232435
8,neighbor_retention_1m,RAW_COMMON,252,future_excess_return,126,0.009201149692294677,0.013933118778152403,0.06941185263412586,0.5714285714285714,0.42857142857142855,4,0.004671831655781467,1.9694951295832988
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,252,future_excess_return,126,0.015704445140127594,0.004487176567195123,0.048959494251403037,0.5396825396825397,0.4603174603174603,4,0.004338627297773587,3.619680618380495
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,252,future_excess_return,126,0.002300110205848413,-0.0006913369445004714,0.04164052965840509,0.48412698412698413,0.5158730158730159,4,0.003586501371441716,0.6413242231450216
