analysis_date,window,density_fraction,density_percent,network_id,n_nodes,n_edges,mean_degree,isolated_node_share,connected_component_count,giant_component_share,degree_gini,strength_gini,top1pct_degree_share,top5pct_degree_share,top1pct_strength_share,top5pct_strength_share,industry_labeled_edge_count,same_industry_edge_share,industry_enrichment
2019-09-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3482,60536,34.77082136703044,0.010913268236645606,39,0.9890867317633544,0.5540108877637391,0.5837266434619894,0.06325161887141535,0.2421864675564953,0.07192744385818989,0.26744737346960207,60536,0.30428174970265626,6.038042813689274
2019-10-31,252,0.01,1.0,B0_RAW_POSITIVE,3517,61751,35.11572362809213,0.37219220926926355,1337,0.6064827978390673,0.8306290058019479,0.8317583795527157,0.15615131738757268,0.4889799355476025,0.15882797115120845,0.492222238962847,61751,0.16189211510744766,3.20919759632545
2019-10-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3517,61751,35.11572362809213,0.010804663065112312,39,0.9891953369348877,0.5558607344444828,0.5853977066801805,0.06227429515311493,0.23876536412365792,0.07142074451970278,0.2644203087764083,61751,0.310148823500834,6.148099666382416
2019-11-29,252,0.01,1.0,B0_RAW_POSITIVE,3534,62393,35.310130164119975,0.37577815506508205,1352,0.61092246745897,0.8282728576881062,0.8295610074926065,0.1586476046992451,0.48686551375955633,0.16137670422797498,0.4906812325547818,62393,0.1610757617040373,3.1859378603543838
2019-11-29,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3534,62393,35.310130164119975,0.011884550084889643,43,0.9881154499151104,0.5629513720698665,0.5921509722087583,0.06515955315500137,0.24860160594938535,0.07410152540840273,0.2743590633260979,62393,0.31460259965060183,6.2225646030742485
2019-12-31,252,0.01,1.0,B0_RAW_POSITIVE,3552,63021,35.4847972972973,0.37246621621621623,1351,0.6097972972972973,0.8281158979467877,0.8294761410927218,0.1546468637438314,0.4847193792545342,0.15726431783607772,0.4886119453301856,63021,0.16292981704511195,3.2198373931642332
2019-12-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3552,63021,35.4847972972973,0.013231981981981982,50,0.9856418918918919,0.5643123159576009,0.5933365970014592,0.06578759461132004,0.25103536916266006,0.07479923095258408,0.27695232995686436,63021,0.31151520921597564,6.15619864653294
2020-01-23,252,0.01,1.0,B0_RAW_POSITIVE,3560,63311,35.56797752808989,0.37724719101123594,1372,0.602808988764045,0.829523500806346,0.831002193853253,0.15490988927674496,0.48652682788141083,0.1578948103662179,0.49077856847471407,63311,0.165010819604808,3.2575955432307278
2020-01-23,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3560,63311,35.56797752808989,0.015730337078651686,58,0.9837078651685394,0.5633692975234259,0.5915091134758472,0.06464121558654894,0.24851131714867875,0.07403600889558415,0.2738452059256514,63311,0.3345864067855507,6.605307398512156
2020-02-28,252,0.01,1.0,B0_RAW_POSITIVE,3566,63537,35.63488502523836,0.38502523836231073,1407,0.5950644980370162,0.8376180285464097,0.8393241050182523,0.15971795961408314,0.5027464312133088,0.16290460145751404,0.5079484222465908,63537,0.15641279884161985,3.0885362811290995
2020-02-28,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3566,63537,35.63488502523836,0.034492428491306786,129,0.9627033090297252,0.6018390051182723,0.625511967071974,0.06979397831184979,0.26028141083148404,0.07620569488396522,0.28408413235899993,63537,0.3627650030690779,7.163178984075731
2020-03-31,252,0.01,1.0,B0_RAW_POSITIVE,3579,63996,35.761944677284156,0.3565241687622241,1307,0.625314333612741,0.8271047203791952,0.8290616588532378,0.15415807237952373,0.48849146821676354,0.1574551881243972,0.4942333314080857,63996,0.17699543721482594,3.4913347264812034
2020-03-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3579,63996,35.761944677284156,0.03436714165968147,129,0.9628387817826208,0.5983891735619618,0.6209604838294398,0.06818394899681231,0.2596646665416589,0.07465945124400099,0.2832287602165971,63996,0.3888055503468967,7.669408551629319
2020-04-30,252,0.01,1.0,B0_RAW_POSITIVE,3591,64433,35.88582567529936,0.3815093288777499,1403,0.5984405458089669,0.835826402029402,0.8376828471588473,0.15454037527353995,0.4973228004283519,0.15819117872860475,0.5031758252098617,64433,0.16662269334036905,3.2860061374186063
2020-04-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3591,64433,35.88582567529936,0.04594820384294068,172,0.9507101086048454,0.6147344470727307,0.6354373987319544,0.07134542858473143,0.27083947666568375,0.07743151912877744,0.2921820259990779,64433,0.3864013781757795,7.620314344570701
2020-05-29,252,0.01,1.0,B0_RAW_POSITIVE,3599,64704,35.95665462628508,0.3467629897193665,1283,0.6304529035843289,0.820256956061814,0.8223298970556094,0.14531559099901087,0.47217328140454995,0.14892647112397822,0.47819873702435667,64704,0.1906064540059347,3.7541230870233275
2020-05-29,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3599,64704,35.95665462628508,0.04918032786885246,185,0.946929702695193,0.6258225372527646,0.6464275746481665,0.07363532393669633,0.2773089762611276,0.07992129335431758,0.298695416599238,64704,0.3954778684470821,7.7892042223173545
2020-06-30,252,0.01,1.0,B0_RAW_POSITIVE,3626,65580,36.17209045780474,0.33976833976833976,1266,0.6398234969663541,0.8157326193007803,0.8177115237935699,0.14232997865202807,0.4636017078377554,0.14586515893803315,0.46956508151610205,65580,0.20240927111924367,3.9679654416891816
2020-06-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3626,65580,36.17209045780474,0.052675124103695535,198,0.944015444015444,0.6281719173661404,0.6482673007025028,0.0745044220799024,0.27706617871302225,0.08098223522605655,0.2984724219592732,65580,0.40190606892345226,7.878835704881856
2020-07-31,252,0.01,1.0,B0_RAW_POSITIVE,3635,66015,36.32187070151307,0.35873452544704265,1342,0.6173314993122421,0.8195107797704682,0.8217893996843435,0.13670377944406575,0.4670983867302886,0.1392904166887017,0.47367217689986657,66015,0.20452927364992804,3.9981252007196484
2020-07-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3635,66015,36.32187070151307,0.07840440165061899,294,0.9169188445667125,0.6632069427762293,0.6835810321601279,0.08245853215178368,0.3096871923047792,0.09235400872001806,0.3362094539213905,66015,0.387396803756722,7.572808019789979
2020-08-31,252,0.01,1.0,B0_RAW_POSITIVE,3641,66240,36.38560834935457,0.3460587750617962,1305,0.6267508926119199,0.8094373269341251,0.8118662425118284,0.12389039855072463,0.442157306763285,0.1269010964675769,0.44860905153601555,66240,0.2244716183574879,4.3886474203031325
2020-08-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3641,66240,36.38560834935457,0.06564130733315024,249,0.9288656962372974,0.6570490510317943,0.6787895768274961,0.08097071256038647,0.3062273550724638,0.09179297418295013,0.33360333847842993,66240,0.3902777777777778,7.630325718587436
2020-09-30,252,0.01,1.0,B0_RAW_POSITIVE,3661,66940,36.56924337612674,0.32777929527451516,1232,0.6511881999453701,0.7940270988374052,0.7965455514467656,0.1150881386316104,0.41358679414400956,0.11801941917652184,0.41955637282227976,66940,0.23053480729011055,4.508448908840965
2020-09-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3661,66940,36.56924337612674,0.0841300191204589,317,0.9114995902758809,0.6638920755413593,0.6841258660369021,0.08125186734389005,0.3063041529728115,0.09207385378824164,0.33292628366147475,66940,0.3648043023603227,7.134287347971511
2020-10-30,252,0.01,1.0,B0_RAW_POSITIVE,3688,67933,36.840021691973966,0.3237527114967462,1228,0.6553687635574837,0.7941733166783285,0.7967102030478728,0.11783669203479899,0.4172125476572505,0.12058695252968951,0.42341322276231985,67933,0.23150751475718723,4.510242367600206
2020-10-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3688,67933,36.840021691973966,0.08080260303687635,304,0.915943600867679,0.6587554342892334,0.6791952062748357,0.0791735975151988,0.30142198931299957,0.09009174309647139,0.3278177080659651,67933,0.37051212223808755,7.218337915209334
2020-11-30,252,0.01,1.0,B0_RAW_POSITIVE,3715,68939,37.11386271870794,0.30901749663526246,1175,0.6751009421265142,0.7880163431587763,0.7904698442249098,0.12031651169874817,0.4091588215668925,0.1227035139900693,0.41535294707261267,68939,0.24779877863038338,4.822153810000562
2020-11-30,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3715,68939,37.11386271870794,0.08613728129205922,326,0.9111709286675639,0.6583101759827192,0.6787638277766381,0.08129650850752114,0.29909775308606157,0.09195010066051919,0.32493515199940587,68939,0.3778412799721493,7.352775416665377
2020-12-31,252,0.01,1.0,B0_RAW_POSITIVE,3737,69764,37.336901257693334,0.30104361787530104,1157,0.6788868075996789,0.7836701010725913,0.7856872819477929,0.11878619345221031,0.3998265581102001,0.12050962588937046,0.4043068629104571,69764,0.2593171263115647,5.036190889819773
2020-12-31,252,0.01,1.0,M1_RESIDUAL_POSITIVE,3737,69764,37.336901257693334,0.08134867540808134,312,0.914905004013915,0.6366226303360891,0.6579015685139165,0.0734332893756092,0.27335015194082907,0.08256444424276835,0.29790930307371755,69764,0.39673757238690444,7.705029652779374
2021-01-29,252,0.01,1.0,B0_RAW_POSITIVE,3758,70558,37.55082490686535,0.29776476849387973,1154,0.6798829164449175,0.7797068682684116,0.7813475711513231,0.12112021315796934,0.39575951699311207,0.12254579422174833,0.39940294027770135,70558,0.25892173814450525,5.012044286150634
