analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,status,previous_n,current_n,union_n,pass_drift_n,delist_cash_carry_n,pretrade_weight_sum,target_weight_sum,turnover,buy_weight,sell_weight,total_abs_trade_weight,trade_notional_per_100m_cny,trade_notional_per_1bn_cny
2024-11-29,2024-10-31,120,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1000,999,1610,1000,0,1.0,0.9999999999999999,0.6261187777863613,0.6261187777863613,0.6261187777863613,1.2522375555727225,125223755.55727226,1252237555.5727224
2024-11-29,2024-10-31,120,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,999,999,1657,999,0,1.0,1.0,0.6708484361584146,0.6708484361584144,0.6708484361584146,1.3416968723168292,134169687.23168293,1341696872.3168292
2024-11-29,2024-10-31,120,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,978,981,1657,978,0,0.9999999999999999,1.0,0.7026916510931966,0.7026916510931968,0.7026916510931966,1.4053833021863933,140538330.2186393,1405383302.1863933
2024-11-29,2024-10-31,120,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,978,981,1689,978,0,0.9999999999999999,1.0,0.7344448696742853,0.7344448696742853,0.7344448696742852,1.4688897393485707,146888973.93485707,1468889739.3485706
2024-11-29,2024-10-31,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1013,1013,1461,1013,0,1.0,0.9999999999999999,0.4675758089082254,0.4675758089082254,0.46757580890822537,0.9351516178164508,93515161.78164509,935151617.8164508
2024-11-29,2024-10-31,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1013,1013,1421,1013,0,0.9999999999999998,1.0,0.427100722772501,0.427100722772501,0.4271007227725009,0.854201445545002,85420144.55450019,854201445.545002
2024-11-29,2024-10-31,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1013,1013,1295,1013,0,0.9999999999999999,1.0,0.31204240613877404,0.31204240613877404,0.31204240613877404,0.6240848122775481,62408481.22775481,624084812.2775481
2024-11-29,2024-10-31,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1013,1013,1270,1013,0,0.9999999999999998,1.0,0.2889824910265629,0.28898249102656304,0.2889824910265628,0.5779649820531259,57796498.20531259,577964982.0531259
2024-11-29,2024-10-31,252,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,1005,1007,1194,1005,0,1.0,0.9999999999999999,0.22264313350664083,0.22264313350664078,0.2226431335066409,0.44528626701328167,44528626.701328166,445286267.01328164
2024-11-29,2024-10-31,252,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,1005,1007,1128,1005,0,1.0,1.0,0.1530595047963543,0.15305950479635425,0.15305950479635433,0.3061190095927086,30611900.95927086,306119009.5927086
